mmsi,source_pair,time_diff_seconds
000000190,china_coastal->e_globe_daily,100.0
000000190,china_coastal->e_globe_daily,68.0
000000190,china_coastal->e_globe_daily,59.0
000000190,china_coastal->e_globe_daily,24.0
000000190,china_coastal->e_globe_daily,19.0
000000190,china_coastal->e_globe_daily,-1.0
000000190,china_coastal->e_globe_daily,-52.0
000000190,china_coastal->e_globe_daily,-80.0
000000190,china_coastal->e_globe_daily,-81.0
000000190,china_coastal->e_globe_daily,-90.0
000000190,china_coastal->e_globe_daily,40.0
000000190,china_coastal->e_globe_daily,39.0
000000190,china_coastal->e_globe_daily,31.0
000000190,china_coastal->e_globe_daily,29.0
000000190,china_coastal->e_globe_daily,24.0
000000190,china_coastal->e_globe_daily,19.0
000000190,china_coastal->e_globe_daily,8.0
000000190,china_coastal->e_globe_daily,-1.0
000000190,china_coastal->e_globe_daily,-36.0
000000190,china_coastal->e_globe_daily,39.0
000000190,china_coastal->e_globe_daily,19.0
000000190,china_coastal->e_globe_daily,-16.0
000000190,china_coastal->e_globe_daily,-22.0
000000190,china_coastal->e_globe_daily,-59.0
000000190,china_coastal->e_globe_daily,-60.0
000000190,china_coastal->e_globe_daily,-68.0
000000190,china_coastal->e_globe_daily,-71.0
000000190,china_coastal->e_globe_daily,-128.0
000000190,china_coastal->e_globe_daily,-131.0
000000190,china_coastal->e_globe_daily,127.0
000000190,china_coastal->e_globe_daily,118.0
000000190,china_coastal->e_globe_daily,100.0
000000190,china_coastal->e_globe_daily,99.0
000000190,china_coastal->e_globe_daily,91.0
000000190,china_coastal->e_globe_daily,88.0
000000190,china_coastal->e_globe_daily,83.0
000000190,china_coastal->e_globe_daily,77.0
000000190,china_coastal->e_globe_daily,58.0
000000190,china_coastal->e_globe_daily,40.0
000000190,china_coastal->e_globe_daily,25.0
000000190,china_coastal->e_globe_daily,18.0
000000190,china_coastal->e_globe_daily,-2.0
000000190,china_coastal->e_globe_daily,0.0
000000190,china_coastal->e_globe_daily,-2.0
000000190,china_coastal->e_globe_daily,-60.0
000000190,china_coastal->e_globe_daily,-62.0
000000190,china_coastal->e_globe_daily,-65.0
000000190,china_coastal->e_globe_daily,-72.0
000000190,china_coastal->e_globe_daily,-81.0
000000190,china_coastal->e_globe_daily,-111.0
000000190,china_coastal->f_globe_dynamic,60.0
000000190,china_coastal->f_globe_dynamic,28.0
000000190,china_coastal->f_globe_dynamic,19.0
000000190,china_coastal->f_globe_dynamic,-16.0
000000190,china_coastal->f_globe_dynamic,-21.0
000000190,china_coastal->f_globe_dynamic,-41.0
000000190,china_coastal->f_globe_dynamic,-92.0
000000190,china_coastal->f_globe_dynamic,-120.0
000000190,china_coastal->f_globe_dynamic,-121.0
000000190,china_coastal->f_globe_dynamic,-130.0
000000190,china_coastal->f_globe_dynamic,-180.0
000000190,china_coastal->f_globe_dynamic,-181.0
000000190,china_coastal->f_globe_dynamic,-189.0
000000190,china_coastal->f_globe_dynamic,-191.0
000000190,china_coastal->f_globe_dynamic,-196.0
000000190,china_coastal->f_globe_dynamic,-201.0
000000190,china_coastal->f_globe_dynamic,-212.0
000000190,china_coastal->f_globe_dynamic,-221.0
000000190,china_coastal->f_globe_dynamic,-256.0
000000190,china_coastal->f_globe_dynamic,-261.0
000000190,china_coastal->f_globe_dynamic,-281.0
000000190,e_globe_daily->f_globe_dynamic,-40.0
000000190,e_globe_daily->f_globe_dynamic,-220.0
