mmsi,source_combo
000000190,"('china_coastal', 'e_globe_daily', 'f_globe_dynamic')"
000000886,"('e_globe_daily', 'f_globe_dynamic')"
000000926,"('e_globe_daily', 'f_globe_dynamic')"
000000940,"('china_coastal',)"
000000941,"('e_globe_daily',)"
000000966,"('e_globe_daily', 'f_globe_dynamic')"
000001004,"('china_coastal', 'e_globe_daily', 'f_globe_dynamic')"
000001008,"('china_coastal', 'e_globe_daily', 'f_globe_dynamic')"
000001045,"('china_coastal', 'e_globe_daily', 'f_globe_dynamic')"
000001050,"('china_coastal', 'e_globe_daily', 'f_globe_dynamic')"
000001051,"('china_coastal', 'e_globe_daily', 'f_globe_dynamic')"
000001066,"('china_coastal', 'e_globe_daily', 'f_globe_dynamic')"
000001071,"('china_coastal', 'e_globe_daily', 'f_globe_dynamic')"
000001087,"('china_coastal', 'e_globe_daily', 'f_globe_dynamic')"
000001098,"('china_coastal', 'e_globe_daily', 'f_globe_dynamic')"
000001101,"('china_coastal', 'e_globe_daily', 'f_globe_dynamic')"
000001119,"('china_coastal', 'e_globe_daily', 'f_globe_dynamic')"
000001128,"('china_coastal', 'e_globe_daily', 'f_globe_dynamic')"
000001129,"('china_coastal', 'e_globe_daily', 'f_globe_dynamic')"
000001192,"('china_coastal', 'e_globe_daily', 'f_globe_dynamic')"
000001207,"('e_globe_daily',)"
000001209,"('e_globe_daily', 'f_globe_dynamic')"
000001254,"('china_coastal', 'e_globe_daily', 'f_globe_dynamic')"
000001325,"('e_globe_daily', 'f_globe_dynamic')"
000001414,"('e_globe_daily', 'f_globe_dynamic')"
000001449,"('e_globe_daily', 'f_globe_dynamic')"
000001543,"('china_coastal', 'e_globe_daily', 'f_globe_dynamic')"
000001555,"('china_coastal', 'e_globe_daily', 'f_globe_dynamic')"
000001558,"('china_coastal',)"
000001593,"('china_coastal', 'e_globe_daily', 'f_globe_dynamic')"
000001596,"('china_coastal', 'e_globe_daily', 'f_globe_dynamic')"
000001598,"('china_coastal', 'e_globe_daily', 'f_globe_dynamic')"
000001617,"('china_coastal', 'e_globe_daily', 'f_globe_dynamic')"
000001769,"('china_coastal', 'e_globe_daily', 'f_globe_dynamic')"
000001860,"('china_coastal', 'e_globe_daily', 'f_globe_dynamic')"
000002008,"('china_coastal', 'e_globe_daily')"
000002123,"('china_coastal', 'e_globe_daily', 'f_globe_dynamic')"
000002127,"('china_coastal', 'e_globe_daily', 'f_globe_dynamic')"
000002130,"('china_coastal', 'e_globe_daily', 'f_globe_dynamic')"
000002141,"('china_coastal', 'e_globe_daily', 'f_globe_dynamic')"
000002144,"('e_globe_daily', 'f_globe_dynamic')"
000002157,"('china_coastal', 'e_globe_daily', 'f_globe_dynamic')"
000002230,"('china_coastal', 'e_globe_daily', 'f_globe_dynamic')"
000002241,"('china_coastal', 'e_globe_daily', 'f_globe_dynamic')"
000002243,"('china_coastal', 'e_globe_daily', 'f_globe_dynamic')"
000002272,"('e_globe_daily', 'f_globe_dynamic')"
000002273,"('e_globe_daily', 'f_globe_dynamic')"
000002304,"('e_globe_daily', 'f_globe_dynamic')"
000002319,"('china_coastal', 'e_globe_daily', 'f_globe_dynamic')"
000002362,"('e_globe_daily', 'f_globe_dynamic')"
000002476,"('e_globe_daily', 'f_globe_dynamic')"
000002512,"('china_coastal', 'e_globe_daily', 'f_globe_dynamic')"
000002516,"('china_coastal', 'e_globe_daily', 'f_globe_dynamic')"
000002519,"('china_coastal', 'e_globe_daily', 'f_globe_dynamic')"
000002530,"('china_coastal', 'e_globe_daily')"
000002531,"('china_coastal', 'e_globe_daily')"
000002535,"('china_coastal', 'e_globe_daily')"
000002537,"('china_coastal', 'e_globe_daily', 'f_globe_dynamic')"
000002552,"('china_coastal', 'e_globe_daily', 'f_globe_dynamic')"
000002553,"('china_coastal', 'e_globe_daily', 'f_globe_dynamic')"
000002556,"('china_coastal', 'e_globe_daily', 'f_globe_dynamic')"
000002659,"('e_globe_daily', 'f_globe_dynamic')"
000002772,"('china_coastal',)"
000002799,"('china_coastal', 'e_globe_daily', 'f_globe_dynamic')"
000002830,"('china_coastal', 'e_globe_daily', 'f_globe_dynamic')"
000002832,"('china_coastal', 'e_globe_daily', 'f_globe_dynamic')"
000002834,"('china_coastal', 'e_globe_daily', 'f_globe_dynamic')"
000002835,"('china_coastal', 'e_globe_daily', 'f_globe_dynamic')"
000002894,"('china_coastal', 'e_globe_daily', 'f_globe_dynamic')"
000002895,"('china_coastal', 'e_globe_daily', 'f_globe_dynamic')"
000002908,"('e_globe_daily', 'f_globe_dynamic')"
000002920,"('e_globe_daily',)"
000002934,"('china_coastal', 'e_globe_daily', 'f_globe_dynamic')"
000002964,"('china_coastal', 'e_globe_daily', 'f_globe_dynamic')"
000002976,"('e_globe_daily', 'f_globe_dynamic')"
000002986,"('e_globe_daily', 'f_globe_dynamic')"
000003017,"('china_coastal', 'e_globe_daily', 'f_globe_dynamic')"
000003019,"('china_coastal', 'e_globe_daily', 'f_globe_dynamic')"
000003022,"('e_globe_daily',)"
000003027,"('e_globe_daily', 'f_globe_dynamic')"
000003030,"('e_globe_daily', 'f_globe_dynamic')"
000003077,"('china_coastal', 'e_globe_daily', 'f_globe_dynamic')"
000003080,"('china_coastal', 'e_globe_daily', 'f_globe_dynamic')"
000003082,"('china_coastal', 'e_globe_daily', 'f_globe_dynamic')"
000003084,"('china_coastal', 'e_globe_daily', 'f_globe_dynamic')"
000003091,"('china_coastal', 'e_globe_daily', 'f_globe_dynamic')"
000003133,"('china_coastal', 'e_globe_daily', 'f_globe_dynamic')"
000003135,"('china_coastal', 'e_globe_daily', 'f_globe_dynamic')"
000003136,"('china_coastal', 'e_globe_daily', 'f_globe_dynamic')"
000003138,"('china_coastal', 'e_globe_daily', 'f_globe_dynamic')"
000003139,"('china_coastal', 'e_globe_daily', 'f_globe_dynamic')"
000003149,"('e_globe_daily', 'f_globe_dynamic')"
000003151,"('china_coastal', 'e_globe_daily', 'f_globe_dynamic')"
000003252,"('e_globe_daily', 'f_globe_dynamic')"
000003517,"('china_coastal', 'e_globe_daily', 'f_globe_dynamic')"
000003574,"('china_coastal', 'e_globe_daily', 'f_globe_dynamic')"
000003589,"('china_coastal', 'e_globe_daily', 'f_globe_dynamic')"
000003728,"('china_coastal', 'e_globe_daily', 'f_globe_dynamic')"
000003766,"('china_coastal', 'e_globe_daily', 'f_globe_dynamic')"
000003827,"('china_coastal', 'e_globe_daily', 'f_globe_dynamic')"
000003830,"('china_coastal', 'e_globe_daily', 'f_globe_dynamic')"
000003845,"('china_coastal', 'e_globe_daily', 'f_globe_dynamic')"
000004334,"('f_globe_dynamic',)"
000004335,"('e_globe_daily',)"
000004338,"('e_globe_daily', 'f_globe_dynamic')"
000005705,"('e_globe_daily', 'f_globe_dynamic')"
000005726,"('e_globe_daily', 'f_globe_dynamic')"
000005745,"('e_globe_daily', 'f_globe_dynamic')"
000005810,"('china_coastal', 'e_globe_daily', 'f_globe_dynamic')"
