mmsi,cohort_dominant3,dominant_region,core_share,near_share,outer_share,mean_active_hours,night_share,morning_share,afternoon_share,presence_freq,recent7_freq,source_group,active_days,present_days
000000190,near,near,0.3333333333333333,0.5,0.16666666666666666,6.0,1.0,0.0,0.0,0.1111111111111111,0.2857142857142857,"('china_coastal', 'e_globe_daily', 'f_globe_dynamic')",1,2
000000886,outer,none,0.0,0.0,0.0,0.0,0.5,0.5,0.5,0.05555555555555555,0.14285714285714285,"('e_globe_daily', 'f_globe_dynamic')",0,1
000000926,outer,none,0.0,0.0,0.0,0.0,0.5,0.5,0.5,0.16666666666666666,0.14285714285714285,"('e_globe_daily', 'f_globe_dynamic')",0,3
000000940,outer,none,0.0,0.0,0.0,0.0,0.5,0.5,0.5,0.05555555555555555,0.0,"('china_coastal',)",0,1
000000941,outer,none,0.0,0.0,0.0,0.0,0.5,0.5,0.5,0.05555555555555555,0.0,"('e_globe_daily',)",0,1
000000966,near,near,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.05555555555555555,0.14285714285714285,"('e_globe_daily', 'f_globe_dynamic')",1,1
000001004,outer,outer,0.18181818181818182,0.2727272727272727,0.5454545454545454,5.5,0.0,0.36363636363636365,0.6363636363636364,1.0,1.0,"('china_coastal', 'e_globe_daily', 'f_globe_dynamic')",2,18
000001008,near,near,0.2,0.4,0.4,7.5,0.0,0.4666666666666667,0.5333333333333333,0.5,0.14285714285714285,"('china_coastal', 'e_globe_daily', 'f_globe_dynamic')",2,9
000001045,outer,outer,0.2714285714285714,0.08571428571428572,0.6428571428571429,8.235294117647058,0.5,0.19285714285714287,0.30714285714285716,1.0,1.0,"('china_coastal', 'e_globe_daily', 'f_globe_dynamic')",17,18
000001050,core,core,0.5416666666666666,0.4583333333333333,0.0,14.666666666666666,0.45075757575757575,0.3068181818181818,0.24242424242424243,1.0,1.0,"('china_coastal', 'e_globe_daily', 'f_globe_dynamic')",18,18
000001051,core,core,0.5953488372093023,0.3581395348837209,0.046511627906976744,11.944444444444445,0.4418604651162791,0.28837209302325584,0.26976744186046514,1.0,1.0,"('china_coastal', 'e_globe_daily', 'f_globe_dynamic')",18,18
000001066,outer,outer,0.25,0.1893939393939394,0.5606060606060606,7.764705882352941,0.4318181818181818,0.36363636363636365,0.20454545454545456,1.0,1.0,"('china_coastal', 'e_globe_daily', 'f_globe_dynamic')",17,18
000001071,core,core,0.75,0.25,0.0,9.777777777777779,0.48863636363636365,0.29545454545454547,0.2159090909090909,1.0,1.0,"('china_coastal', 'e_globe_daily', 'f_globe_dynamic')",18,18
000001087,core,core,0.8051282051282052,0.19487179487179487,0.0,10.833333333333334,0.4666666666666667,0.2717948717948718,0.26153846153846155,1.0,1.0,"('china_coastal', 'e_globe_daily', 'f_globe_dynamic')",18,18
000001098,near,near,0.3770491803278688,0.5792349726775956,0.04371584699453552,10.166666666666666,0.44808743169398907,0.32786885245901637,0.22404371584699453,1.0,1.0,"('china_coastal', 'e_globe_daily', 'f_globe_dynamic')",18,18
000001101,near,near,0.387434554973822,0.612565445026178,0.0,10.61111111111111,0.4973821989528796,0.3193717277486911,0.18324607329842932,1.0,1.0,"('china_coastal', 'e_globe_daily', 'f_globe_dynamic')",18,18
000001119,core,core,0.668141592920354,0.26548672566371684,0.06637168141592921,12.555555555555555,0.49557522123893805,0.28761061946902655,0.2168141592920354,1.0,1.0,"('china_coastal', 'e_globe_daily', 'f_globe_dynamic')",18,18
000001128,core,core,0.6302521008403361,0.29411764705882354,0.07563025210084033,13.222222222222221,0.46218487394957986,0.27310924369747897,0.2647058823529412,1.0,1.0,"('china_coastal', 'e_globe_daily', 'f_globe_dynamic')",18,18
000001129,core,core,0.5488215488215489,0.31313131313131315,0.13804713804713806,16.5,0.4444444444444444,0.2996632996632997,0.2558922558922559,1.0,1.0,"('china_coastal', 'e_globe_daily', 'f_globe_dynamic')",18,18
000001192,outer,none,0.0,0.0,0.0,0.0,0.5,0.5,0.5,0.8888888888888888,0.7142857142857143,"('china_coastal', 'e_globe_daily', 'f_globe_dynamic')",0,16
000001207,outer,outer,0.0,0.0,1.0,4.0,0.5,0.5,0.0,0.05555555555555555,0.0,"('e_globe_daily',)",1,1
000001209,outer,outer,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.1111111111111111,0.14285714285714285,"('e_globe_daily', 'f_globe_dynamic')",1,2
000001254,outer,outer,0.0,0.0,1.0,2.75,0.18181818181818182,0.7272727272727273,0.09090909090909091,0.2222222222222222,0.42857142857142855,"('china_coastal', 'e_globe_daily', 'f_globe_dynamic')",4,4
000001325,near,near,0.0,0.5,0.5,2.0,1.0,0.0,0.0,0.05555555555555555,0.14285714285714285,"('e_globe_daily', 'f_globe_dynamic')",1,1
000001414,outer,none,0.0,0.0,0.0,0.0,0.5,0.5,0.5,0.05555555555555555,0.14285714285714285,"('e_globe_daily', 'f_globe_dynamic')",0,1
000001543,outer,outer,0.125,0.375,0.5,5.333333333333333,0.5,0.125,0.375,0.2777777777777778,0.2857142857142857,"('china_coastal', 'e_globe_daily', 'f_globe_dynamic')",3,5
000001555,near,near,0.1875,0.4375,0.375,3.2,0.875,0.0,0.125,0.2777777777777778,0.2857142857142857,"('china_coastal', 'e_globe_daily', 'f_globe_dynamic')",5,5
000001558,outer,none,0.0,0.0,0.0,0.0,0.5,0.5,0.5,0.1111111111111111,0.0,"('china_coastal',)",0,2
000001593,near,near,0.14285714285714285,0.5714285714285714,0.2857142857142857,2.3333333333333335,0.42857142857142855,0.5714285714285714,0.0,0.3333333333333333,0.42857142857142855,"('china_coastal', 'e_globe_daily', 'f_globe_dynamic')",3,6
000001598,near,near,0.09090909090909091,0.5,0.4090909090909091,3.6666666666666665,0.22727272727272727,0.36363636363636365,0.4090909090909091,0.5555555555555556,0.7142857142857143,"('china_coastal', 'e_globe_daily', 'f_globe_dynamic')",6,10
000001769,near,near,0.16666666666666666,0.4166666666666667,0.4166666666666667,6.0,0.0,0.08333333333333333,0.9166666666666666,0.3888888888888889,0.0,"('china_coastal', 'e_globe_daily', 'f_globe_dynamic')",2,7
000001860,near,near,0.25,0.5,0.25,4.0,0.875,0.0,0.125,0.3888888888888889,0.0,"('china_coastal', 'e_globe_daily', 'f_globe_dynamic')",2,7
000002008,near,near,0.2,0.4,0.4,5.0,1.0,0.0,0.0,0.3333333333333333,0.0,"('china_coastal', 'e_globe_daily')",1,6
000002123,outer,outer,0.1,0.2,0.7,5.0,0.0,0.1,0.9,0.3888888888888889,0.14285714285714285,"('china_coastal', 'e_globe_daily', 'f_globe_dynamic')",2,7
000002127,outer,none,0.0,0.0,0.0,0.0,0.5,0.5,0.5,1.0,1.0,"('china_coastal', 'e_globe_daily', 'f_globe_dynamic')",0,18
000002130,outer,none,0.0,0.0,0.0,0.0,0.5,0.5,0.5,0.7777777777777778,0.42857142857142855,"('china_coastal', 'e_globe_daily', 'f_globe_dynamic')",0,14
000002141,near,near,0.125,0.625,0.25,5.333333333333333,0.6875,0.0625,0.25,0.2222222222222222,0.0,"('china_coastal', 'e_globe_daily', 'f_globe_dynamic')",3,4
000002144,outer,none,0.0,0.0,0.0,0.0,0.5,0.5,0.5,0.2222222222222222,0.0,"('e_globe_daily', 'f_globe_dynamic')",0,4
000002157,outer,outer,0.15789473684210525,0.3684210526315789,0.47368421052631576,3.8,0.5789473684210527,0.42105263157894735,0.0,0.4444444444444444,0.5714285714285714,"('china_coastal', 'e_globe_daily', 'f_globe_dynamic')",5,8
000002241,near,near,0.23076923076923078,0.46153846153846156,0.3076923076923077,3.25,0.6923076923076923,0.15384615384615385,0.15384615384615385,0.5555555555555556,0.0,"('china_coastal', 'e_globe_daily', 'f_globe_dynamic')",4,10
000002272,near,near,0.0,0.5714285714285714,0.42857142857142855,1.75,0.2857142857142857,0.2857142857142857,0.42857142857142855,0.8888888888888888,1.0,"('e_globe_daily', 'f_globe_dynamic')",4,16
000002304,outer,none,0.0,0.0,0.0,0.0,0.5,0.5,0.5,0.2222222222222222,0.14285714285714285,"('e_globe_daily', 'f_globe_dynamic')",0,4
000002319,near,near,0.0,0.5,0.5,2.0,0.0,1.0,0.0,0.2222222222222222,0.14285714285714285,"('china_coastal', 'e_globe_daily', 'f_globe_dynamic')",2,4
000002362,outer,outer,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.3333333333333333,0.14285714285714285,"('e_globe_daily', 'f_globe_dynamic')",1,6
000002476,outer,none,0.0,0.0,0.0,0.0,0.5,0.5,0.5,0.9444444444444444,0.8571428571428571,"('e_globe_daily', 'f_globe_dynamic')",0,17
000002512,core,core,0.7846153846153846,0.2153846153846154,0.0,10.833333333333334,0.48717948717948717,0.29743589743589743,0.2153846153846154,1.0,1.0,"('china_coastal', 'e_globe_daily', 'f_globe_dynamic')",18,18
000002516,core,core,0.7647058823529411,0.23529411764705882,0.0,11.333333333333334,0.4852941176470588,0.30392156862745096,0.2107843137254902,1.0,1.0,"('china_coastal', 'e_globe_daily', 'f_globe_dynamic')",18,18
000002519,outer,outer,0.21428571428571427,0.3333333333333333,0.4523809523809524,8.4,0.4126984126984127,0.30158730158730157,0.2857142857142857,1.0,1.0,"('china_coastal', 'e_globe_daily', 'f_globe_dynamic')",15,18
000002530,near,near,0.18181818181818182,0.5454545454545454,0.2727272727272727,5.5,0.18181818181818182,0.09090909090909091,0.7272727272727273,0.1111111111111111,0.0,"('china_coastal', 'e_globe_daily')",2,2
000002531,outer,outer,0.18181818181818182,0.36363636363636365,0.45454545454545453,5.5,0.36363636363636365,0.18181818181818182,0.45454545454545453,0.1111111111111111,0.0,"('china_coastal', 'e_globe_daily')",2,2
000002535,near,near,0.18181818181818182,0.45454545454545453,0.36363636363636365,3.6666666666666665,0.45454545454545453,0.18181818181818182,0.36363636363636365,0.16666666666666666,0.0,"('china_coastal', 'e_globe_daily')",3,3
000002537,near,near,0.21052631578947367,0.47368421052631576,0.3157894736842105,2.7142857142857144,0.6842105263157895,0.05263157894736842,0.2631578947368421,0.4444444444444444,0.2857142857142857,"('china_coastal', 'e_globe_daily', 'f_globe_dynamic')",7,8
000002552,near,near,0.16666666666666666,0.4166666666666667,0.4166666666666667,4.0,0.16666666666666666,0.5,0.3333333333333333,1.0,1.0,"('china_coastal', 'e_globe_daily', 'f_globe_dynamic')",3,18
000002553,outer,outer,0.125,0.375,0.5,4.0,0.875,0.125,0.0,0.3333333333333333,0.2857142857142857,"('china_coastal', 'e_globe_daily', 'f_globe_dynamic')",2,6
000002556,near,near,0.25,0.5,0.25,2.0,0.75,0.0,0.25,0.1111111111111111,0.2857142857142857,"('china_coastal', 'e_globe_daily', 'f_globe_dynamic')",2,2
000002659,core,core,0.7777777777777778,0.2222222222222222,0.0,1.8,0.2222222222222222,0.5555555555555556,0.2222222222222222,0.4444444444444444,0.14285714285714285,"('e_globe_daily', 'f_globe_dynamic')",5,8
000002772,outer,none,0.0,0.0,0.0,0.0,0.5,0.5,0.5,0.1111111111111111,0.0,"('china_coastal',)",0,2
000002799,near,near,0.2222222222222222,0.4444444444444444,0.3333333333333333,4.5,0.2222222222222222,0.2222222222222222,0.5555555555555556,0.8888888888888888,0.7142857142857143,"('china_coastal', 'e_globe_daily', 'f_globe_dynamic')",2,16
000002830,near,near,0.23076923076923078,0.46153846153846156,0.3076923076923077,3.25,0.8461538461538461,0.07692307692307693,0.07692307692307693,0.2777777777777778,0.2857142857142857,"('china_coastal', 'e_globe_daily', 'f_globe_dynamic')",4,5
000002832,near,near,0.21052631578947367,0.42105263157894735,0.3684210526315789,4.75,0.5263157894736842,0.21052631578947367,0.2631578947368421,0.2222222222222222,0.2857142857142857,"('china_coastal', 'e_globe_daily', 'f_globe_dynamic')",4,4
000002834,outer,outer,0.19047619047619047,0.38095238095238093,0.42857142857142855,4.2,0.7619047619047619,0.09523809523809523,0.14285714285714285,1.0,1.0,"('china_coastal', 'e_globe_daily', 'f_globe_dynamic')",5,18
000002835,near,near,0.16666666666666666,0.5833333333333334,0.25,3.0,0.25,0.5833333333333334,0.16666666666666666,0.3333333333333333,0.42857142857142855,"('china_coastal', 'e_globe_daily', 'f_globe_dynamic')",4,6
000002894,outer,outer,0.2857142857142857,0.14285714285714285,0.5714285714285714,7.0,0.0,0.42857142857142855,0.5714285714285714,0.5,1.0,"('china_coastal', 'e_globe_daily', 'f_globe_dynamic')",1,9
000002895,near,near,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.6111111111111112,1.0,"('china_coastal', 'e_globe_daily', 'f_globe_dynamic')",1,11
000002908,near,near,0.0,0.5,0.5,2.5,0.03333333333333333,0.6333333333333333,0.3333333333333333,1.0,1.0,"('e_globe_daily', 'f_globe_dynamic')",12,18
000002920,outer,none,0.0,0.0,0.0,0.0,0.5,0.5,0.5,0.1111111111111111,0.0,"('e_globe_daily',)",0,2
000002934,core,core,0.6052631578947368,0.2894736842105263,0.10526315789473684,9.5,0.23684210526315788,0.5263157894736842,0.23684210526315788,1.0,1.0,"('china_coastal', 'e_globe_daily', 'f_globe_dynamic')",4,18
000002964,outer,none,0.0,0.0,0.0,0.0,0.5,0.5,0.5,0.1111111111111111,0.0,"('china_coastal', 'e_globe_daily', 'f_globe_dynamic')",0,2
000002976,near,near,0.3157894736842105,0.3684210526315789,0.3157894736842105,2.111111111111111,0.10526315789473684,0.3684210526315789,0.5263157894736842,0.7777777777777778,0.8571428571428571,"('e_globe_daily', 'f_globe_dynamic')",9,14
