method,date,sse,delta_vs_baseline
exact_step11_baseline,2018-01-19,525.0,0.0
exact_step11_baseline,2018-01-20,595.0,0.0
exact_step11_baseline,2018-01-21,890.0,0.0
exact_step11_baseline,2018-01-22,597.0,0.0
exact_step11_baseline,2018-01-23,517.0,0.0
exact_step11_baseline,2018-01-24,748.0,0.0
cohort_aggregate_1_long,2018-01-19,515.0,-10.0
cohort_aggregate_1_long,2018-01-20,887.0,292.0
cohort_aggregate_1_long,2018-01-21,1261.0,371.0
cohort_aggregate_1_long,2018-01-22,537.0,-60.0
cohort_aggregate_1_long,2018-01-23,721.0,204.0
cohort_aggregate_1_long,2018-01-24,1096.0,348.0
cohort_aggregate_1_recent3,2018-01-19,515.0,-10.0
cohort_aggregate_1_recent3,2018-01-20,887.0,292.0
cohort_aggregate_1_recent3,2018-01-21,1261.0,371.0
cohort_aggregate_1_recent3,2018-01-22,537.0,-60.0
cohort_aggregate_1_recent3,2018-01-23,721.0,204.0
cohort_aggregate_1_recent3,2018-01-24,1096.0,348.0
cohort_aggregate_1_recent7,2018-01-19,515.0,-10.0
cohort_aggregate_1_recent7,2018-01-20,887.0,292.0
cohort_aggregate_1_recent7,2018-01-21,1261.0,371.0
cohort_aggregate_1_recent7,2018-01-22,537.0,-60.0
cohort_aggregate_1_recent7,2018-01-23,721.0,204.0
cohort_aggregate_1_recent7,2018-01-24,1096.0,348.0
cohort_aggregate_1_blend,2018-01-19,515.0,-10.0
cohort_aggregate_1_blend,2018-01-20,887.0,292.0
cohort_aggregate_1_blend,2018-01-21,1261.0,371.0
cohort_aggregate_1_blend,2018-01-22,537.0,-60.0
cohort_aggregate_1_blend,2018-01-23,721.0,204.0
cohort_aggregate_1_blend,2018-01-24,1096.0,348.0
cohort_dominant_region_3_long,2018-01-19,516.0,-9.0
cohort_dominant_region_3_long,2018-01-20,902.0,307.0
cohort_dominant_region_3_long,2018-01-21,1267.0,377.0
cohort_dominant_region_3_long,2018-01-22,550.0,-47.0
cohort_dominant_region_3_long,2018-01-23,721.0,204.0
cohort_dominant_region_3_long,2018-01-24,1096.0,348.0
cohort_dominant_region_3_recent3,2018-01-19,514.0,-11.0
cohort_dominant_region_3_recent3,2018-01-20,904.0,309.0
cohort_dominant_region_3_recent3,2018-01-21,1258.0,368.0
cohort_dominant_region_3_recent3,2018-01-22,544.0,-53.0
cohort_dominant_region_3_recent3,2018-01-23,715.0,198.0
cohort_dominant_region_3_recent3,2018-01-24,1098.0,350.0
cohort_dominant_region_3_recent7,2018-01-19,505.0,-20.0
cohort_dominant_region_3_recent7,2018-01-20,923.0,328.0
cohort_dominant_region_3_recent7,2018-01-21,1333.0,443.0
cohort_dominant_region_3_recent7,2018-01-22,573.0,-24.0
cohort_dominant_region_3_recent7,2018-01-23,730.0,213.0
cohort_dominant_region_3_recent7,2018-01-24,1123.0,375.0
cohort_dominant_region_3_blend,2018-01-19,499.0,-26.0
cohort_dominant_region_3_blend,2018-01-20,904.0,309.0
cohort_dominant_region_3_blend,2018-01-21,1262.0,372.0
cohort_dominant_region_3_blend,2018-01-22,537.0,-60.0
cohort_dominant_region_3_blend,2018-01-23,727.0,210.0
cohort_dominant_region_3_blend,2018-01-24,1112.0,364.0
cohort_region_intensity_6_long,2018-01-19,511.0,-14.0
cohort_region_intensity_6_long,2018-01-20,900.0,305.0
cohort_region_intensity_6_long,2018-01-21,1239.0,349.0
cohort_region_intensity_6_long,2018-01-22,547.0,-50.0
cohort_region_intensity_6_long,2018-01-23,709.0,192.0
cohort_region_intensity_6_long,2018-01-24,1086.0,338.0
cohort_region_intensity_6_recent3,2018-01-19,511.0,-14.0
cohort_region_intensity_6_recent3,2018-01-20,898.0,303.0
cohort_region_intensity_6_recent3,2018-01-21,1251.0,361.0
cohort_region_intensity_6_recent3,2018-01-22,541.0,-56.0
cohort_region_intensity_6_recent3,2018-01-23,718.0,201.0
cohort_region_intensity_6_recent3,2018-01-24,1097.0,349.0
cohort_region_intensity_6_recent7,2018-01-19,509.0,-16.0
cohort_region_intensity_6_recent7,2018-01-20,917.0,322.0
cohort_region_intensity_6_recent7,2018-01-21,1320.0,430.0
cohort_region_intensity_6_recent7,2018-01-22,549.0,-48.0
cohort_region_intensity_6_recent7,2018-01-23,730.0,213.0
cohort_region_intensity_6_recent7,2018-01-24,1123.0,375.0
cohort_region_intensity_6_blend,2018-01-19,499.0,-26.0
cohort_region_intensity_6_blend,2018-01-20,903.0,308.0
cohort_region_intensity_6_blend,2018-01-21,1266.0,376.0
cohort_region_intensity_6_blend,2018-01-22,537.0,-60.0
cohort_region_intensity_6_blend,2018-01-23,730.0,213.0
cohort_region_intensity_6_blend,2018-01-24,1111.0,363.0
cohort_region_shift_6_long,2018-01-19,525.0,0.0
cohort_region_shift_6_long,2018-01-20,870.0,275.0
cohort_region_shift_6_long,2018-01-21,1237.0,347.0
cohort_region_shift_6_long,2018-01-22,531.0,-66.0
cohort_region_shift_6_long,2018-01-23,712.0,195.0
cohort_region_shift_6_long,2018-01-24,1077.0,329.0
cohort_region_shift_6_recent3,2018-01-19,528.0,3.0
cohort_region_shift_6_recent3,2018-01-20,835.0,240.0
cohort_region_shift_6_recent3,2018-01-21,1237.0,347.0
cohort_region_shift_6_recent3,2018-01-22,534.0,-63.0
cohort_region_shift_6_recent3,2018-01-23,707.0,190.0
cohort_region_shift_6_recent3,2018-01-24,1082.0,334.0
cohort_region_shift_6_recent7,2018-01-19,504.0,-21.0
cohort_region_shift_6_recent7,2018-01-20,899.0,304.0
cohort_region_shift_6_recent7,2018-01-21,1255.0,365.0
cohort_region_shift_6_recent7,2018-01-22,528.0,-69.0
cohort_region_shift_6_recent7,2018-01-23,715.0,198.0
cohort_region_shift_6_recent7,2018-01-24,1102.0,354.0
cohort_region_shift_6_blend,2018-01-19,522.0,-3.0
cohort_region_shift_6_blend,2018-01-20,884.0,289.0
cohort_region_shift_6_blend,2018-01-21,1242.0,352.0
cohort_region_shift_6_blend,2018-01-22,534.0,-63.0
cohort_region_shift_6_blend,2018-01-23,721.0,204.0
cohort_region_shift_6_blend,2018-01-24,1096.0,348.0
oracle_true_cohort_counts_dominant3,2018-01-19,502.0,-23.0
oracle_true_cohort_counts_dominant3,2018-01-20,875.0,280.0
oracle_true_cohort_counts_dominant3,2018-01-21,1258.0,368.0
oracle_true_cohort_counts_dominant3,2018-01-22,511.0,-86.0
oracle_true_cohort_counts_dominant3,2018-01-23,665.0,148.0
oracle_true_cohort_counts_dominant3,2018-01-24,1011.0,263.0
