method,deployable,total_sse,baseline_sse,reduction_ratio,passes_5pct
exact_step11_baseline,True,3872.0,3872.0,0.0,False
cohort_aggregate_1_long,True,5017.0,3872.0,-0.2957128099173554,False
cohort_aggregate_1_recent3,True,5017.0,3872.0,-0.2957128099173554,False
cohort_aggregate_1_recent7,True,5017.0,3872.0,-0.2957128099173554,False
cohort_aggregate_1_blend,True,5017.0,3872.0,-0.2957128099173554,False
cohort_dominant_region_3_long,True,5052.0,3872.0,-0.3047520661157024,False
cohort_dominant_region_3_recent3,True,5033.0,3872.0,-0.29984504132231415,False
cohort_dominant_region_3_recent7,True,5187.0,3872.0,-0.3396177685950412,False
cohort_dominant_region_3_blend,True,5041.0,3872.0,-0.30191115702479343,False
cohort_region_intensity_6_long,True,4992.0,3872.0,-0.28925619834710736,False
cohort_region_intensity_6_recent3,True,5016.0,3872.0,-0.2954545454545454,False
cohort_region_intensity_6_recent7,True,5148.0,3872.0,-0.3295454545454546,False
cohort_region_intensity_6_blend,True,5046.0,3872.0,-0.30320247933884303,False
cohort_region_shift_6_long,True,4952.0,3872.0,-0.27892561983471076,False
cohort_region_shift_6_recent3,True,4923.0,3872.0,-0.2714359504132231,False
cohort_region_shift_6_recent7,True,5003.0,3872.0,-0.29209710743801653,False
cohort_region_shift_6_blend,True,4999.0,3872.0,-0.2910640495867769,False
oracle_true_cohort_counts_dominant3,False,4822.0,3872.0,-0.24535123966942152,False
