method,deployable
exact_step11_baseline,True
cohort_aggregate_1_long,True
cohort_aggregate_1_recent3,True
cohort_aggregate_1_recent7,True
cohort_aggregate_1_blend,True
cohort_dominant_region_3_long,True
cohort_dominant_region_3_recent3,True
cohort_dominant_region_3_recent7,True
cohort_dominant_region_3_blend,True
cohort_region_intensity_6_long,True
cohort_region_intensity_6_recent3,True
cohort_region_intensity_6_recent7,True
cohort_region_intensity_6_blend,True
cohort_region_shift_6_long,True
cohort_region_shift_6_recent3,True
cohort_region_shift_6_recent7,True
cohort_region_shift_6_blend,True
oracle_true_cohort_counts_dominant3,False
oracle_true_counts_global_profile,False
