method,region,sse
exact_step11_baseline,core,2303.0
exact_step11_baseline,near,1206.0
exact_step11_baseline,outer,363.0
cohort_aggregate_1_long,core,2966.0
cohort_aggregate_1_long,near,1599.0
cohort_aggregate_1_long,outer,452.0
cohort_aggregate_1_recent3,core,2966.0
cohort_aggregate_1_recent3,near,1599.0
cohort_aggregate_1_recent3,outer,452.0
cohort_aggregate_1_recent7,core,2966.0
cohort_aggregate_1_recent7,near,1599.0
cohort_aggregate_1_recent7,outer,452.0
cohort_aggregate_1_blend,core,2966.0
cohort_aggregate_1_blend,near,1599.0
cohort_aggregate_1_blend,outer,452.0
cohort_dominant_region_3_long,core,3008.0
cohort_dominant_region_3_long,near,1592.0
cohort_dominant_region_3_long,outer,452.0
cohort_dominant_region_3_recent3,core,2992.0
cohort_dominant_region_3_recent3,near,1599.0
cohort_dominant_region_3_recent3,outer,442.0
cohort_dominant_region_3_recent7,core,3130.0
cohort_dominant_region_3_recent7,near,1614.0
cohort_dominant_region_3_recent7,outer,443.0
cohort_dominant_region_3_blend,core,3004.0
cohort_dominant_region_3_blend,near,1594.0
cohort_dominant_region_3_blend,outer,443.0
cohort_region_intensity_6_long,core,2995.0
cohort_region_intensity_6_long,near,1570.0
cohort_region_intensity_6_long,outer,427.0
cohort_region_intensity_6_recent3,core,2987.0
cohort_region_intensity_6_recent3,near,1594.0
cohort_region_intensity_6_recent3,outer,435.0
cohort_region_intensity_6_recent7,core,3096.0
cohort_region_intensity_6_recent7,near,1615.0
cohort_region_intensity_6_recent7,outer,437.0
cohort_region_intensity_6_blend,core,3021.0
cohort_region_intensity_6_blend,near,1589.0
cohort_region_intensity_6_blend,outer,436.0
cohort_region_shift_6_long,core,2914.0
cohort_region_shift_6_long,near,1596.0
cohort_region_shift_6_long,outer,442.0
cohort_region_shift_6_recent3,core,2884.0
cohort_region_shift_6_recent3,near,1600.0
cohort_region_shift_6_recent3,outer,439.0
cohort_region_shift_6_recent7,core,2971.0
cohort_region_shift_6_recent7,near,1599.0
cohort_region_shift_6_recent7,outer,433.0
cohort_region_shift_6_blend,core,2963.0
cohort_region_shift_6_blend,near,1603.0
cohort_region_shift_6_blend,outer,433.0
oracle_true_cohort_counts_dominant3,core,2787.0
oracle_true_cohort_counts_dominant3,near,1571.0
oracle_true_cohort_counts_dominant3,outer,464.0
