mmsi,hour,date,hour_of_day,region,a_region,hour_str,representative_region,alignment,n_regions,quality
000000190,2018-01-12 01:00:00,2018-01-12,1,outer,outer,2018-01-12 01:00:00,,no_representative_state,1,reduced
000000190,2018-01-12 02:00:00,2018-01-12,2,core,core,2018-01-12 02:00:00,,multi_a_region,2,reduced
000000190,2018-01-12 02:00:00,2018-01-12,2,near,near,2018-01-12 02:00:00,,multi_a_region,2,reduced
000000190,2018-01-12 03:00:00,2018-01-12,3,core,core,2018-01-12 03:00:00,,multi_a_region,2,reduced
000000190,2018-01-12 03:00:00,2018-01-12,3,near,near,2018-01-12 03:00:00,,multi_a_region,2,reduced
000000190,2018-01-12 04:00:00,2018-01-12,4,near,near,2018-01-12 04:00:00,,no_representative_state,1,reduced
000000886,2018-01-20 05:00:00,2018-01-20,5,outer,outer,2018-01-20 05:00:00,,no_representative_state,1,normal
000000886,2018-01-20 06:00:00,2018-01-20,6,outer,outer,2018-01-20 06:00:00,,no_representative_state,1,normal
000000886,2018-01-20 07:00:00,2018-01-20,7,outer,outer,2018-01-20 07:00:00,,no_representative_state,1,normal
000000966,2018-01-16 08:00:00,2018-01-16,8,near,near,2018-01-16 08:00:00,,no_representative_state,1,outage
000001004,2018-01-07 12:00:00,2018-01-07,12,core,core,2018-01-07 12:00:00,,multi_a_region,2,normal
000001004,2018-01-07 12:00:00,2018-01-07,12,near,near,2018-01-07 12:00:00,,multi_a_region,2,normal
000001004,2018-01-07 13:00:00,2018-01-07,13,near,near,2018-01-07 13:00:00,,multi_a_region,2,normal
000001004,2018-01-07 13:00:00,2018-01-07,13,outer,outer,2018-01-07 13:00:00,,multi_a_region,2,normal
000001004,2018-01-07 14:00:00,2018-01-07,14,outer,outer,2018-01-07 14:00:00,,no_representative_state,1,normal
000001004,2018-01-15 08:00:00,2018-01-15,8,outer,outer,2018-01-15 08:00:00,,no_representative_state,1,outage
000001004,2018-01-15 09:00:00,2018-01-15,9,outer,outer,2018-01-15 09:00:00,,no_representative_state,1,outage
000001004,2018-01-15 10:00:00,2018-01-15,10,outer,outer,2018-01-15 10:00:00,,no_representative_state,1,outage
000001004,2018-01-15 11:00:00,2018-01-15,11,outer,outer,2018-01-15 11:00:00,,no_representative_state,1,outage
000001004,2018-01-15 13:00:00,2018-01-15,13,near,near,2018-01-15 13:00:00,,no_representative_state,1,outage
000001004,2018-01-15 14:00:00,2018-01-15,14,core,core,2018-01-15 14:00:00,,no_representative_state,1,outage
000001008,2018-01-07 08:00:00,2018-01-07,8,core,core,2018-01-07 08:00:00,,multi_a_region,2,normal
000001008,2018-01-07 08:00:00,2018-01-07,8,near,near,2018-01-07 08:00:00,,multi_a_region,2,normal
000001008,2018-01-07 09:00:00,2018-01-07,9,near,near,2018-01-07 09:00:00,,no_representative_state,1,normal
000001008,2018-01-07 10:00:00,2018-01-07,10,outer,outer,2018-01-07 10:00:00,,no_representative_state,1,normal
000001008,2018-01-07 11:00:00,2018-01-07,11,outer,outer,2018-01-07 11:00:00,,no_representative_state,1,normal
000001008,2018-01-07 12:00:00,2018-01-07,12,outer,outer,2018-01-07 12:00:00,,no_representative_state,1,normal
000001008,2018-01-07 13:00:00,2018-01-07,13,core,core,2018-01-07 13:00:00,,multi_a_region,2,normal
000001008,2018-01-07 13:00:00,2018-01-07,13,near,near,2018-01-07 13:00:00,,multi_a_region,2,normal
000001008,2018-01-07 14:00:00,2018-01-07,14,near,near,2018-01-07 14:00:00,,no_representative_state,1,normal
000001008,2018-01-12 10:00:00,2018-01-12,10,near,near,2018-01-12 10:00:00,,no_representative_state,1,reduced
000001008,2018-01-12 11:00:00,2018-01-12,11,core,core,2018-01-12 11:00:00,,no_representative_state,1,reduced
