date,hour,region,stock_now,stock_next,stay,inflow,outflow,exit,entry,reconstructed_next,difference,passed
2018-01-01,0,core,14,14,14,0,0,0,0,14,0,True
2018-01-01,0,near,19,19,19,0,0,0,0,19,0,True
2018-01-01,0,outer,2,2,2,0,0,0,0,2,0,True
2018-01-01,1,core,14,14,14,0,0,0,0,14,0,True
2018-01-01,1,near,19,20,19,1,0,0,0,20,0,True
2018-01-01,1,outer,2,1,1,0,1,0,0,1,0,True
2018-01-01,2,core,14,15,13,2,1,0,0,15,0,True
2018-01-01,2,near,20,19,18,1,2,0,0,19,0,True
2018-01-01,2,outer,1,1,1,0,0,0,0,1,0,True
2018-01-01,3,core,15,13,13,0,2,0,0,13,0,True
2018-01-01,3,near,19,20,18,2,1,0,0,20,0,True
2018-01-01,3,outer,1,2,1,1,0,0,0,2,0,True
2018-01-01,4,core,13,15,13,2,0,0,0,15,0,True
2018-01-01,4,near,20,18,18,0,2,0,0,18,0,True
2018-01-01,4,outer,2,2,2,0,0,0,0,2,0,True
2018-01-01,5,core,15,16,15,1,0,0,0,16,0,True
2018-01-01,5,near,18,18,18,0,0,0,0,18,0,True
2018-01-01,5,outer,2,1,1,0,1,0,0,1,0,True
2018-01-01,6,core,16,7,7,0,9,0,0,7,0,True
2018-01-01,6,near,18,27,18,9,0,0,0,27,0,True
2018-01-01,6,outer,1,1,1,0,0,0,0,1,0,True
2018-01-01,7,core,7,15,7,8,0,0,0,15,0,True
2018-01-01,7,near,27,20,17,0,10,0,3,20,0,True
2018-01-01,7,outer,1,5,1,2,0,0,2,5,0,True
2018-01-01,8,core,15,14,13,1,2,0,0,14,0,True
2018-01-01,8,near,20,19,18,1,1,1,0,19,0,True
2018-01-01,8,outer,5,6,5,1,0,0,0,6,0,True
2018-01-01,9,core,14,14,13,1,0,1,0,14,0,True
2018-01-01,9,near,19,20,18,2,1,0,0,20,0,True
2018-01-01,9,outer,6,4,3,1,3,0,0,4,0,True
2018-01-01,10,core,14,13,12,1,2,0,0,13,0,True
2018-01-01,10,near,20,22,19,2,1,0,1,22,0,True
2018-01-01,10,outer,4,5,4,0,0,0,1,5,0,True
2018-01-01,11,core,13,15,12,2,1,0,1,15,0,True
2018-01-01,11,near,22,18,18,0,3,1,0,18,0,True
2018-01-01,11,outer,5,8,5,2,0,0,1,8,0,True
2018-01-01,12,core,15,15,15,0,0,0,0,15,0,True
2018-01-01,12,near,18,18,18,0,0,0,0,18,0,True
2018-01-01,12,outer,8,8,8,0,0,0,0,8,0,True
2018-01-01,13,core,15,15,14,1,0,1,0,15,0,True
2018-01-01,13,near,18,20,17,2,1,0,1,20,0,True
2018-01-01,13,outer,8,5,5,0,2,1,0,5,0,True
2018-01-01,14,core,15,12,11,1,4,0,0,12,0,True
2018-01-01,14,near,20,23,18,5,1,1,0,23,0,True
2018-01-01,14,outer,5,6,4,0,1,0,2,6,0,True
2018-01-01,15,core,12,13,12,1,0,0,0,13,0,True
2018-01-01,15,near,23,21,21,0,2,0,0,21,0,True
2018-01-01,15,outer,6,7,6,1,0,0,0,7,0,True
2018-01-01,16,core,13,13,12,1,1,0,0,13,0,True
2018-01-01,16,near,21,24,20,3,1,0,1,24,0,True
2018-01-01,16,outer,7,4,4,0,2,1,0,4,0,True
2018-01-01,17,core,13,12,12,0,1,0,0,12,0,True
2018-01-01,17,near,24,25,23,2,0,1,0,25,0,True
2018-01-01,17,outer,4,4,3,0,1,0,1,4,0,True
2018-01-01,18,core,12,7,6,1,6,0,0,7,0,True
2018-01-01,18,near,25,31,24,7,1,0,0,31,0,True
2018-01-01,18,outer,4,4,3,0,1,0,1,4,0,True
2018-01-01,19,core,7,11,7,4,0,0,0,11,0,True
2018-01-01,19,near,31,27,26,0,5,0,1,27,0,True
2018-01-01,19,outer,4,5,4,1,0,0,0,5,0,True
2018-01-01,20,core,11,15,11,4,0,0,0,15,0,True
2018-01-01,20,near,27,22,21,1,4,2,0,22,0,True
2018-01-01,20,outer,5,4,4,0,1,0,0,4,0,True
2018-01-01,21,core,15,16,15,1,0,0,0,16,0,True
2018-01-01,21,near,22,21,21,0,1,0,0,21,0,True
2018-01-01,21,outer,4,4,4,0,0,0,0,4,0,True
2018-01-01,22,core,16,14,14,0,2,0,0,14,0,True
2018-01-01,22,near,21,22,21,1,0,0,0,22,0,True
2018-01-01,22,outer,4,6,4,1,0,0,1,6,0,True
2018-01-01,23,core,14,14,14,0,0,0,0,14,0,True
2018-01-01,23,near,22,21,21,0,1,0,0,21,0,True
2018-01-01,23,outer,6,7,6,1,0,0,0,7,0,True
2018-01-02,0,core,14,14,14,0,0,0,0,14,0,True
2018-01-02,0,near,21,21,21,0,0,0,0,21,0,True
2018-01-02,0,outer,7,7,7,0,0,0,0,7,0,True
2018-01-02,1,core,14,14,14,0,0,0,0,14,0,True
2018-01-02,1,near,21,21,21,0,0,0,0,21,0,True
2018-01-02,1,outer,7,6,6,0,0,1,0,6,0,True
2018-01-02,2,core,14,15,13,2,1,0,0,15,0,True
2018-01-02,2,near,21,23,21,1,0,0,1,23,0,True
2018-01-02,2,outer,6,6,4,0,2,0,2,6,0,True
2018-01-02,3,core,15,13,13,0,2,0,0,13,0,True
2018-01-02,3,near,23,23,21,2,1,1,0,23,0,True
2018-01-02,3,outer,6,6,5,1,0,1,0,6,0,True
2018-01-02,4,core,13,15,13,2,0,0,0,15,0,True
2018-01-02,4,near,23,22,21,1,2,0,0,22,0,True
2018-01-02,4,outer,6,5,5,0,1,0,0,5,0,True
2018-01-02,5,core,15,12,12,0,3,0,0,12,0,True
2018-01-02,5,near,22,26,22,3,0,0,1,26,0,True
2018-01-02,5,outer,5,5,4,1,1,0,0,5,0,True
2018-01-02,6,core,12,11,8,3,4,0,0,11,0,True
2018-01-02,6,near,26,25,23,2,2,1,0,25,0,True
2018-01-02,6,outer,5,6,4,2,1,0,0,6,0,True
2018-01-02,7,core,11,10,9,1,2,0,0,10,0,True
2018-01-02,7,near,25,25,23,1,2,0,1,25,0,True
2018-01-02,7,outer,6,8,5,2,0,1,1,8,0,True
2018-01-02,8,core,10,9,9,0,1,0,0,9,0,True
2018-01-02,8,near,25,27,25,0,0,0,2,27,0,True
2018-01-02,8,outer,8,10,7,1,0,1,2,10,0,True
2018-01-02,9,core,9,10,9,1,0,0,0,10,0,True
2018-01-02,9,near,27,25,24,1,2,1,0,25,0,True
2018-01-02,9,outer,10,10,9,1,1,0,0,10,0,True
2018-01-02,10,core,10,8,8,0,2,0,0,8,0,True
2018-01-02,10,near,25,31,25,6,0,0,0,31,0,True
2018-01-02,10,outer,10,6,6,0,4,0,0,6,0,True
2018-01-02,11,core,8,9,8,1,0,0,0,9,0,True
2018-01-02,11,near,31,30,30,0,1,0,0,30,0,True
2018-01-02,11,outer,6,6,6,0,0,0,0,6,0,True
2018-01-02,12,core,9,9,9,0,0,0,0,9,0,True
2018-01-02,12,near,30,29,28,1,2,0,0,29,0,True
2018-01-02,12,outer,6,7,5,2,1,0,0,7,0,True
2018-01-02,13,core,9,12,9,3,0,0,0,12,0,True
2018-01-02,13,near,29,29,28,1,1,0,0,29,0,True
2018-01-02,13,outer,7,4,4,0,3,0,0,4,0,True
2018-01-02,14,core,12,10,9,1,3,0,0,10,0,True
2018-01-02,14,near,29,31,26,3,3,0,2,31,0,True
2018-01-02,14,outer,4,7,4,2,0,0,1,7,0,True
2018-01-02,15,core,10,9,7,2,2,1,0,9,0,True
2018-01-02,15,near,31,29,27,2,3,1,0,29,0,True
2018-01-02,15,outer,7,8,7,1,0,0,0,8,0,True
2018-01-02,16,core,9,14,9,5,0,0,0,14,0,True
2018-01-02,16,near,29,26,25,1,4,0,0,26,0,True
2018-01-02,16,outer,8,6,5,1,3,0,0,6,0,True
2018-01-02,17,core,14,15,13,2,1,0,0,15,0,True
2018-01-02,17,near,26,27,24,2,2,0,1,27,0,True
2018-01-02,17,outer,6,6,5,0,1,0,1,6,0,True
2018-01-02,18,core,15,14,10,4,5,0,0,14,0,True
2018-01-02,18,near,27,29,23,6,3,1,0,29,0,True
