block,method,deployable,sse,baseline_sse,reduction_ratio
block_pre_normal,exact_step11_baseline,True,2729.0,2729.0,0.0
block_pre_normal,oracle_abs_long,True,2461.0,2729.0,0.09820447050201542
block_pre_normal,oracle_abs_recent3,True,2550.0,2729.0,0.06559179186515207
block_pre_normal,oracle_abs_recent7,True,2461.0,2729.0,0.09820447050201542
block_pre_normal,oracle_inc_common,True,2535.0,2729.0,0.07108831073653354
block_pre_normal,oracle_inc_region,True,2530.0,2729.0,0.07292048369366066
block_pre_normal,oracle_inc_full_ridge,True,2699.0,2729.0,0.010993037742762946
block_pre_normal,oracle_true_stock_true_daily_factor,False,2175.0,2729.0,0.20300476364968856
block_target_like,exact_step11_baseline,True,3399.0,3399.0,0.0
block_target_like,oracle_abs_long,True,3453.0,3399.0,-0.015887025595763493
block_target_like,oracle_abs_recent3,True,4218.0,3399.0,-0.24095322153574572
block_target_like,oracle_abs_recent7,True,3561.0,3399.0,-0.04766107678729048
block_target_like,oracle_inc_common,True,3391.0,3399.0,0.0023536334215945587
block_target_like,oracle_inc_region,True,3374.0,3399.0,0.007355104442483107
block_target_like,oracle_inc_full_ridge,True,3635.0,3399.0,-0.06943218593704037
block_target_like,oracle_true_stock_true_daily_factor,False,3374.0,3399.0,0.007355104442483107
block_post_outage_stress,exact_step11_baseline,True,3872.0,3872.0,0.0
block_post_outage_stress,oracle_abs_long,True,3834.0,3872.0,0.009814049586776896
block_post_outage_stress,oracle_abs_recent3,True,4863.0,3872.0,-0.2559400826446281
block_post_outage_stress,oracle_abs_recent7,True,4014.0,3872.0,-0.036673553719008156
block_post_outage_stress,oracle_inc_common,True,3715.0,3872.0,0.04054752066115708
block_post_outage_stress,oracle_inc_region,True,3700.0,3872.0,0.044421487603305776
block_post_outage_stress,oracle_inc_full_ridge,True,4659.0,3872.0,-0.20325413223140498
block_post_outage_stress,oracle_true_stock_true_daily_factor,False,3775.0,3872.0,0.02505165289256195
