block,date,hour,region,residual,stock_dev,a_true,bl_pred,stock_true,stock_mean
block_pre_normal,2018-01-07,0,core,8.0,0.0,12.0,4.0,14.0,14.0
block_pre_normal,2018-01-07,0,near,1.0,0.33333333333333215,2.0,1.0,24.0,23.666666666666668
block_pre_normal,2018-01-07,0,outer,3.0,3.666666666666667,5.0,2.0,9.0,5.333333333333333
block_pre_normal,2018-01-07,1,core,-1.0,-0.3333333333333339,1.0,2.0,14.0,14.333333333333334
block_pre_normal,2018-01-07,1,near,1.0,0.5,1.0,0.0,24.0,23.5
block_pre_normal,2018-01-07,1,outer,2.0,2.833333333333333,4.0,2.0,8.0,5.166666666666667
block_pre_normal,2018-01-07,2,core,6.0,-0.16666666666666607,12.0,6.0,14.0,14.166666666666666
block_pre_normal,2018-01-07,2,near,0.0,0.33333333333333215,2.0,2.0,25.0,24.666666666666668
block_pre_normal,2018-01-07,2,outer,-1.0,0.666666666666667,0.0,1.0,5.0,4.333333333333333
block_pre_normal,2018-01-07,3,core,1.0,-4.333333333333334,13.0,12.0,10.0,14.333333333333334
block_pre_normal,2018-01-07,3,near,5.0,5.0,10.0,5.0,30.0,25.0
block_pre_normal,2018-01-07,3,outer,-1.0,0.666666666666667,0.0,1.0,5.0,4.333333333333333
block_pre_normal,2018-01-07,4,core,2.0,1.166666666666666,8.0,6.0,15.0,13.833333333333334
block_pre_normal,2018-01-07,4,near,6.0,0.33333333333333215,8.0,2.0,25.0,24.666666666666668
block_pre_normal,2018-01-07,4,outer,-2.0,-1.0,0.0,2.0,4.0,5.0
block_pre_normal,2018-01-07,5,core,0.0,0.5,3.0,3.0,15.0,14.5
block_pre_normal,2018-01-07,5,near,-1.0,1.0,1.0,2.0,25.0,24.0
block_pre_normal,2018-01-07,5,outer,-1.0,-0.666666666666667,1.0,2.0,4.0,4.666666666666667
block_pre_normal,2018-01-07,6,core,-3.0,-1.833333333333334,9.0,12.0,13.0,14.833333333333334
block_pre_normal,2018-01-07,6,near,0.0,1.8333333333333321,4.0,4.0,27.0,25.166666666666668
block_pre_normal,2018-01-07,6,outer,0.0,0.6666666666666665,1.0,1.0,4.0,3.3333333333333335
block_pre_normal,2018-01-07,7,core,-1.0,3.666666666666666,11.0,12.0,14.0,10.333333333333334
block_pre_normal,2018-01-07,7,near,-7.0,-2.0,2.0,9.0,27.0,29.0
block_pre_normal,2018-01-07,7,outer,-2.0,0.33333333333333304,1.0,3.0,5.0,4.666666666666667
block_pre_normal,2018-01-07,8,core,2.0,1.5,9.0,7.0,13.0,11.5
block_pre_normal,2018-01-07,8,near,-3.0,-1.5,4.0,7.0,26.0,27.5
block_pre_normal,2018-01-07,8,outer,-1.0,1.5,2.0,3.0,7.0,5.5
block_pre_normal,2018-01-07,9,core,2.0,5.0,6.0,4.0,17.0,12.0
block_pre_normal,2018-01-07,9,near,2.0,-5.333333333333332,7.0,5.0,22.0,27.333333333333332
block_pre_normal,2018-01-07,9,outer,0.0,0.5,3.0,3.0,7.0,6.5
block_pre_normal,2018-01-07,10,core,2.0,4.333333333333334,11.0,9.0,16.0,11.666666666666666
block_pre_normal,2018-01-07,10,near,-4.0,-4.333333333333332,3.0,7.0,23.0,27.333333333333332
block_pre_normal,2018-01-07,10,outer,1.0,0.5,4.0,3.0,7.0,6.5
block_pre_normal,2018-01-07,11,core,0.0,6.333333333333334,10.0,10.0,16.0,9.666666666666666
block_pre_normal,2018-01-07,11,near,-7.0,-6.666666666666668,3.0,10.0,24.0,30.666666666666668
