date,baseline_sse,incremental_sse,absolute_sse,inc_improved,abs_improved
2018-01-07,734.0,678.0,702.0,True,True
2018-01-08,402.0,428.0,435.0,False,False
2018-01-09,1060.0,993.0,914.0,True,True
2018-01-10,523.0,514.0,555.0,True,False
2018-01-11,501.0,393.0,359.0,True,True
2018-01-19,525.0,353.0,354.0,True,True
2018-01-20,629.0,554.0,554.0,True,True
2018-01-21,995.0,1005.0,1018.0,False,False
2018-01-22,585.0,562.0,572.0,True,True
2018-01-23,481.0,507.0,520.0,False,False
2018-01-24,741.0,743.0,803.0,False,False
