block,method,sse,baseline_sse,reduction_pct
block_pre_normal,exact_step11_baseline,2729.0,2729.0,0.0
block_pre_normal,oracle_abs_long,2461.0,2729.0,9.820447050201542
block_pre_normal,oracle_abs_recent3,2550.0,2729.0,6.559179186515207
block_pre_normal,oracle_abs_recent7,2461.0,2729.0,9.820447050201542
block_pre_normal,oracle_inc_common,2535.0,2729.0,7.108831073653354
block_pre_normal,oracle_inc_region,2530.0,2729.0,7.292048369366066
block_pre_normal,oracle_inc_full_ridge,2699.0,2729.0,1.0993037742762946
block_pre_normal,oracle_true_stock_true_daily_factor,2175.0,2729.0,20.300476364968855
block_target_like,exact_step11_baseline,3399.0,3399.0,0.0
block_target_like,oracle_abs_long,3453.0,3399.0,-1.5887025595763493
block_target_like,oracle_abs_recent3,4218.0,3399.0,-24.09532215357457
block_target_like,oracle_abs_recent7,3561.0,3399.0,-4.766107678729048
block_target_like,oracle_inc_common,3391.0,3399.0,0.23536334215945587
block_target_like,oracle_inc_region,3374.0,3399.0,0.7355104442483107
block_target_like,oracle_inc_full_ridge,3635.0,3399.0,-6.943218593704037
block_target_like,oracle_true_stock_true_daily_factor,3374.0,3399.0,0.7355104442483107
block_post_outage_stress,exact_step11_baseline,3872.0,3872.0,0.0
block_post_outage_stress,oracle_abs_long,3834.0,3872.0,0.9814049586776896
block_post_outage_stress,oracle_abs_recent3,4863.0,3872.0,-25.594008264462808
block_post_outage_stress,oracle_abs_recent7,4014.0,3872.0,-3.6673553719008156
block_post_outage_stress,oracle_inc_common,3715.0,3872.0,4.054752066115707
block_post_outage_stress,oracle_inc_region,3700.0,3872.0,4.442148760330578
block_post_outage_stress,oracle_inc_full_ridge,4659.0,3872.0,-20.325413223140497
block_post_outage_stress,oracle_true_stock_true_daily_factor,3775.0,3872.0,2.505165289256195
