date,rank_within_date,hour,region,y_true,baseline_pred,residual,squared_error,daily_regime
2018-01-06,1,23,core,16,9,7.0,49.0,middle
2018-01-06,2,19,near,4,10,-6.0,36.0,middle
2018-01-06,3,11,core,6,11,-5.0,25.0,middle
2018-01-06,4,5,core,0,5,-5.0,25.0,middle
2018-01-06,5,11,near,14,9,5.0,25.0,middle
2018-01-06,6,16,core,4,9,-5.0,25.0,middle
2018-01-06,7,12,core,3,7,-4.0,16.0,middle
2018-01-06,8,10,core,6,10,-4.0,16.0,middle
2018-01-06,9,12,near,7,3,4.0,16.0,middle
2018-01-06,10,15,core,7,11,-4.0,16.0,middle
2018-01-06,11,9,near,7,4,3.0,9.0,middle
2018-01-06,12,12,outer,7,4,3.0,9.0,middle
2018-01-06,13,16,outer,0,3,-3.0,9.0,middle
2018-01-06,14,2,core,8,5,3.0,9.0,middle
2018-01-06,15,0,near,0,2,-2.0,4.0,middle
2018-01-06,16,3,near,6,4,2.0,4.0,middle
2018-01-06,17,15,outer,1,3,-2.0,4.0,middle
2018-01-06,18,13,outer,2,4,-2.0,4.0,middle
2018-01-06,19,19,core,11,13,-2.0,4.0,middle
2018-01-06,20,16,near,2,4,-2.0,4.0,middle
2018-01-07,1,0,core,12,4,8.0,64.0,middle
2018-01-07,2,7,near,2,9,-7.0,49.0,middle
2018-01-07,3,15,near,1,8,-7.0,49.0,middle
2018-01-07,4,11,near,3,10,-7.0,49.0,middle
2018-01-07,5,12,core,12,6,6.0,36.0,middle
2018-01-07,6,13,core,11,5,6.0,36.0,middle
2018-01-07,7,4,near,8,2,6.0,36.0,middle
2018-01-07,8,2,core,12,6,6.0,36.0,middle
2018-01-07,9,16,core,13,7,6.0,36.0,middle
2018-01-07,10,17,near,7,1,6.0,36.0,middle
2018-01-07,11,15,core,4,10,-6.0,36.0,middle
2018-01-07,12,23,core,6,12,-6.0,36.0,middle
2018-01-07,13,3,near,10,5,5.0,25.0,middle
2018-01-07,14,12,near,9,4,5.0,25.0,middle
2018-01-07,15,13,near,9,4,5.0,25.0,middle
2018-01-07,16,16,near,8,4,4.0,16.0,middle
2018-01-07,17,10,near,3,7,-4.0,16.0,middle
2018-01-07,18,6,core,9,12,-3.0,9.0,middle
2018-01-07,19,14,near,4,7,-3.0,9.0,middle
2018-01-07,20,14,outer,5,2,3.0,9.0,middle
2018-01-08,1,22,core,0,8,-8.0,64.0,middle
2018-01-08,2,18,core,2,9,-7.0,49.0,middle
2018-01-08,3,20,core,11,5,6.0,36.0,middle
2018-01-08,4,18,near,0,6,-6.0,36.0,middle
2018-01-08,5,19,near,4,9,-5.0,25.0,middle
2018-01-08,6,7,core,15,11,4.0,16.0,middle
2018-01-08,7,19,core,9,13,-4.0,16.0,middle
2018-01-08,8,6,core,8,12,-4.0,16.0,middle
2018-01-08,9,20,near,7,3,4.0,16.0,middle
2018-01-08,10,13,core,2,5,-3.0,9.0,middle
2018-01-08,11,0,core,2,5,-3.0,9.0,middle
2018-01-08,12,11,core,14,11,3.0,9.0,middle
2018-01-08,13,22,near,0,3,-3.0,9.0,middle
2018-01-08,14,8,near,4,7,-3.0,9.0,middle
2018-01-08,15,6,near,3,5,-2.0,4.0,middle
2018-01-08,16,2,near,4,2,2.0,4.0,middle
2018-01-08,17,5,near,4,2,2.0,4.0,middle
2018-01-08,18,8,core,9,7,2.0,4.0,middle
2018-01-08,19,7,near,6,8,-2.0,4.0,middle
2018-01-08,20,15,outer,0,2,-2.0,4.0,middle
2018-01-09,1,7,core,0,12,-12.0,144.0,middle
2018-01-09,2,6,core,2,11,-9.0,81.0,middle
2018-01-09,3,1,core,10,2,8.0,64.0,middle
2018-01-09,4,14,core,0,8,-8.0,64.0,middle
2018-01-09,5,4,core,13,6,7.0,49.0,middle
2018-01-09,6,1,near,7,0,7.0,49.0,middle
2018-01-09,7,14,near,0,7,-7.0,49.0,middle
2018-01-09,8,0,core,10,4,6.0,36.0,middle
2018-01-09,9,3,core,5,11,-6.0,36.0,middle
2018-01-09,10,7,near,2,8,-6.0,36.0,middle
2018-01-09,11,20,core,12,6,6.0,36.0,middle
2018-01-09,12,20,near,10,4,6.0,36.0,middle
2018-01-09,13,16,core,3,9,-6.0,36.0,middle
2018-01-09,14,12,near,9,3,6.0,36.0,middle
2018-01-09,15,2,core,0,6,-6.0,36.0,middle
