date,train_end,quality,day_type,U_d,baseline_total,actual_total,daily_level_residual,daily_sse,max_cell_sse,top10_cell_sse,top10_sse_share,worst_region,worst_hour,previous_normal_run,lag7_date,lag7_quality,lag7_a_total,lag14_date,lag14_quality,lag14_a_total
2018-01-06,2018-01-05,normal,weekend,61,345.0,304.0,-1.7083333333333333,377.0,49.0,249.0,0.6604774535809018,core,23,0,2017-12-30,n/a,,2017-12-23,n/a,
2018-01-07,2018-01-06,normal,weekend,60,337.0,363.0,1.0833333333333333,734.0,64.0,427.0,0.5817438692098093,core,0,1,2017-12-31,n/a,,2017-12-24,n/a,
2018-01-08,2018-01-07,normal,weekday,56,340.0,302.0,-1.5833333333333333,402.0,64.0,283.0,0.7039800995024875,core,22,2,2018-01-01,normal,331.0,2017-12-25,n/a,
2018-01-09,2018-01-08,normal,weekday,54,334.0,296.0,-1.5833333333333333,1060.0,144.0,608.0,0.5735849056603773,core,7,3,2018-01-02,normal,380.0,2017-12-26,n/a,
2018-01-10,2018-01-09,normal,weekday,54,332.0,263.0,-2.875,523.0,81.0,287.0,0.5487571701720841,core,6,4,2018-01-03,normal,364.0,2017-12-27,n/a,
2018-01-11,2018-01-10,normal,weekday,54,321.0,264.0,-2.375,501.0,49.0,251.0,0.500998003992016,near,8,5,2018-01-04,normal,316.0,2017-12-28,n/a,
2018-01-19,2018-01-18,normal,weekday,52,312.0,247.0,-2.7083333333333335,525.0,100.0,363.0,0.6914285714285714,core,3,0,2018-01-12,reduced,231.0,2018-01-05,normal,324.0
2018-01-20,2018-01-19,normal,weekend,55,305.0,400.0,3.9583333333333335,629.0,81.0,338.0,0.5373608903020668,core,2,1,2018-01-13,outage,173.0,2018-01-06,normal,304.0
2018-01-21,2018-01-20,normal,weekend,54,314.0,407.0,3.875,995.0,81.0,543.0,0.5457286432160804,core,13,2,2018-01-14,outage,111.0,2018-01-07,normal,363.0
2018-01-22,2018-01-21,normal,weekday,52,320.0,261.0,-2.4583333333333335,585.0,49.0,340.0,0.5811965811965812,core,15,3,2018-01-15,outage,115.0,2018-01-08,normal,302.0
2018-01-23,2018-01-22,normal,weekday,48,314.0,325.0,0.4583333333333333,481.0,64.0,312.0,0.6486486486486487,core,21,4,2018-01-16,outage,159.0,2018-01-09,normal,296.0
2018-01-24,2018-01-23,normal,weekday,48,317.0,366.0,2.0416666666666665,741.0,64.0,444.0,0.5991902834008097,core,6,5,2018-01-17,severe,120.0,2018-01-10,normal,263.0
