block,method,deployable,K,coef_method,alpha,sse,baseline_sse,reduction_ratio
block_target_like,fourier_K1_coef_zero_a0.5,True,1,coef_zero,0.5,3399.0,3399.0,0.0
block_target_like,fourier_K1_coef_zero_a1.0,True,1,coef_zero,1.0,3399.0,3399.0,0.0
block_target_like,fourier_K1_coef_long_mean_a0.5,True,1,coef_long_mean,0.5,3348.0,3399.0,0.015004413062665534
block_target_like,fourier_K1_coef_long_mean_a1.0,True,1,coef_long_mean,1.0,3363.0,3399.0,0.010591350397175625
block_target_like,fourier_K1_coef_recent1_a0.5,True,1,coef_recent1,0.5,3405.0,3399.0,-0.001765225066195919
block_target_like,fourier_K1_coef_recent1_a1.0,True,1,coef_recent1,1.0,3764.0,3399.0,-0.10738452486025296
block_target_like,fourier_K1_coef_recent3_mean_a0.5,True,1,coef_recent3_mean,0.5,3359.0,3399.0,0.011768167107972904
block_target_like,fourier_K1_coef_recent3_mean_a1.0,True,1,coef_recent3_mean,1.0,3561.0,3399.0,-0.04766107678729048
block_target_like,fourier_K2_coef_zero_a0.5,True,2,coef_zero,0.5,3399.0,3399.0,0.0
block_target_like,fourier_K2_coef_zero_a1.0,True,2,coef_zero,1.0,3399.0,3399.0,0.0
block_target_like,fourier_K2_coef_long_mean_a0.5,True,2,coef_long_mean,0.5,3464.0,3399.0,-0.019123271550456122
block_target_like,fourier_K2_coef_long_mean_a1.0,True,2,coef_long_mean,1.0,3512.0,3399.0,-0.033245072080023474
block_target_like,fourier_K2_coef_recent1_a0.5,True,2,coef_recent1,0.5,3517.0,3399.0,-0.034716092968520185
block_target_like,fourier_K2_coef_recent1_a1.0,True,2,coef_recent1,1.0,4064.0,3399.0,-0.19564577817005002
block_target_like,fourier_K2_coef_recent3_mean_a0.5,True,2,coef_recent3_mean,0.5,3368.0,3399.0,0.009120329508679026
block_target_like,fourier_K2_coef_recent3_mean_a1.0,True,2,coef_recent3_mean,1.0,3684.0,3399.0,-0.08384819064430715
block_target_like,exact_step11_baseline,True,0,none,0.0,3399.0,3399.0,0.0
block_post_outage_stress,fourier_K1_coef_zero_a0.5,True,1,coef_zero,0.5,3872.0,3872.0,0.0
block_post_outage_stress,fourier_K1_coef_zero_a1.0,True,1,coef_zero,1.0,3872.0,3872.0,0.0
block_post_outage_stress,fourier_K1_coef_long_mean_a0.5,True,1,coef_long_mean,0.5,3872.0,3872.0,0.0
block_post_outage_stress,fourier_K1_coef_long_mean_a1.0,True,1,coef_long_mean,1.0,3826.0,3872.0,0.011880165289256173
block_post_outage_stress,fourier_K1_coef_recent1_a0.5,True,1,coef_recent1,0.5,3706.0,3872.0,0.04287190082644632
block_post_outage_stress,fourier_K1_coef_recent1_a1.0,True,1,coef_recent1,1.0,3870.0,3872.0,0.0005165289256198191
block_post_outage_stress,fourier_K1_coef_recent3_mean_a0.5,True,1,coef_recent3_mean,0.5,3780.0,3872.0,0.023760330578512345
block_post_outage_stress,fourier_K1_coef_recent3_mean_a1.0,True,1,coef_recent3_mean,1.0,3812.0,3872.0,0.015495867768595017
block_post_outage_stress,fourier_K2_coef_zero_a0.5,True,2,coef_zero,0.5,3872.0,3872.0,0.0
block_post_outage_stress,fourier_K2_coef_zero_a1.0,True,2,coef_zero,1.0,3872.0,3872.0,0.0
block_post_outage_stress,fourier_K2_coef_long_mean_a0.5,True,2,coef_long_mean,0.5,3852.0,3872.0,0.005165289256198302
block_post_outage_stress,fourier_K2_coef_long_mean_a1.0,True,2,coef_long_mean,1.0,3878.0,3872.0,-0.0015495867768595684
block_post_outage_stress,fourier_K2_coef_recent1_a0.5,True,2,coef_recent1,0.5,3750.0,3872.0,0.031508264462809965
block_post_outage_stress,fourier_K2_coef_recent1_a1.0,True,2,coef_recent1,1.0,3974.0,3872.0,-0.026342975206611552
block_post_outage_stress,fourier_K2_coef_recent3_mean_a0.5,True,2,coef_recent3_mean,0.5,3806.0,3872.0,0.017045454545454586
block_post_outage_stress,fourier_K2_coef_recent3_mean_a1.0,True,2,coef_recent3_mean,1.0,3876.0,3872.0,-0.0010330578512396382
block_post_outage_stress,exact_step11_baseline,True,0,none,0.0,3872.0,3872.0,0.0
