date,K,alpha,baseline_sse,method_sse,improved
2018-01-09,1,0.5,1060.0,1060.0,False
2018-01-09,1,1.0,1060.0,1060.0,False
2018-01-09,2,0.5,1060.0,1073.0,False
2018-01-09,2,1.0,1060.0,1056.0,True
2018-01-10,1,0.5,523.0,523.0,False
2018-01-10,1,1.0,523.0,523.0,False
2018-01-10,2,0.5,523.0,501.0,True
2018-01-10,2,1.0,523.0,493.0,True
2018-01-11,1,0.5,501.0,501.0,False
2018-01-11,1,1.0,501.0,473.0,True
2018-01-11,2,0.5,501.0,491.0,True
2018-01-11,2,1.0,501.0,459.0,True
2018-01-19,1,0.5,525.0,525.0,False
2018-01-19,1,1.0,525.0,495.0,True
2018-01-19,2,0.5,525.0,504.0,True
2018-01-19,2,1.0,525.0,467.0,True
2018-01-20,1,0.5,629.0,642.0,False
2018-01-20,1,1.0,629.0,744.0,False
2018-01-20,2,0.5,629.0,672.0,False
2018-01-20,2,1.0,629.0,747.0,False
2018-01-21,1,0.5,995.0,995.0,False
2018-01-21,1,1.0,995.0,974.0,True
2018-01-21,2,0.5,995.0,966.0,True
2018-01-21,2,1.0,995.0,972.0,True
2018-01-22,1,0.5,585.0,567.0,True
2018-01-22,1,1.0,585.0,551.0,True
2018-01-22,2,0.5,585.0,586.0,False
2018-01-22,2,1.0,585.0,604.0,False
2018-01-23,1,0.5,481.0,492.0,False
2018-01-23,1,1.0,481.0,457.0,True
2018-01-23,2,0.5,481.0,512.0,False
2018-01-23,2,1.0,481.0,501.0,False
2018-01-24,1,0.5,741.0,725.0,True
2018-01-24,1,1.0,741.0,723.0,True
2018-01-24,2,0.5,741.0,723.0,True
2018-01-24,2,1.0,741.0,716.0,True
