block,K,sse_baseline,sse_level,sse_shape,sse_combined,red_level,red_shape,red_combined
block_post_outage_stress,1,3872.0,3438.0,3426.0,2992.0,0.11208677685950408,0.1151859504132231,0.2272727272727273
block_post_outage_stress,2,3872.0,3438.0,3133.0,2682.0,0.11208677685950408,0.19085743801652888,0.3073347107438017
block_post_outage_stress,3,3872.0,3438.0,3107.0,2611.0,0.11208677685950408,0.19757231404958675,0.3256714876033058
block_post_outage_stress,4,3872.0,3438.0,2820.0,2376.0,0.11208677685950408,0.27169421487603307,0.38636363636363635
block_pre_normal,1,2729.0,2412.0,2507.0,2120.0,0.11615976548186147,0.08134847929644562,0.22315866617808722
block_pre_normal,2,2729.0,2412.0,2444.0,2048.0,0.11615976548186147,0.10443385855624776,0.24954195676071822
block_pre_normal,3,2729.0,2412.0,2142.0,1774.0,0.11615976548186147,0.21509710516672775,0.34994503481128614
block_pre_normal,4,2729.0,2412.0,2154.0,1757.0,0.11615976548186147,0.21069989006962253,0.3561744228655185
block_target_like,1,3399.0,3037.0,3135.0,2739.0,0.106501912327155,0.07766990291262132,0.19417475728155342
block_target_like,2,3399.0,3037.0,2886.0,2511.0,0.106501912327155,0.15092674315975285,0.2612533097969991
block_target_like,3,3399.0,3037.0,2830.0,2498.0,0.106501912327155,0.16740217711091498,0.2650779641070903
block_target_like,4,3399.0,3037.0,2606.0,2192.0,0.106501912327155,0.2333039129155634,0.35510444248308326
