model_id,total_sse,total_reduction,badcase_sse,badcase_reduction,easy_sse,easy_change,correct_direction_count,wrong_direction_count,correct_direction_rate
decomp_mean_daytype_shrunk/exclude_outage_severe,3872.0,0.0,1638.0,0.0,2234.0,0.0,0,0,0.0
decomp_mean_daytype_shrunk/quality_weighted,3902.0,-0.00774793388429762,1652.0,-0.008547008547008517,2250.0,16.0,26,19,0.5777777777777777
decomp_mean_mean/quality_weighted,3910.0,-0.009814049586776896,1691.0,-0.032356532356532464,2219.0,-15.0,51,48,0.5151515151515151
decomp_mean_mean/exclude_outage_severe,3922.0,-0.012913223140495811,1707.0,-0.0421245421245422,2215.0,-19.0,44,48,0.4782608695652174
hour_mean/quality_weighted,3880.0,-0.0020661157024792765,1709.0,-0.043345543345543414,2171.0,-63.0,57,49,0.5377358490566038
hour_mean/exclude_outage_severe,3928.0,-0.01446280991735538,1727.0,-0.054334554334554364,2201.0,-33.0,53,52,0.5047619047619047
decomp_ewm7_daytype_shrunk/quality_weighted,3946.0,-0.019111570247933862,1751.0,-0.06898656898656896,2195.0,-39.0,53,43,0.5520833333333334
decomp_ewm7_daytype_shrunk/exclude_outage_severe,4030.0,-0.04080578512396693,1753.0,-0.07020757020757018,2277.0,43.0,39,36,0.52
hour_mean/all,4510.0,-0.1647727272727273,2101.0,-0.28266178266178277,2409.0,175.0,104,106,0.49523809523809526
decomp_mean_mean/all,4704.0,-0.2148760330578512,2225.0,-0.3583638583638584,2479.0,245.0,113,120,0.48497854077253216
decomp_mean_daytype_shrunk/all,4760.0,-0.22933884297520657,2277.0,-0.39010989010989006,2483.0,249.0,108,123,0.4675324675324675
decomp_ewm7_daytype_shrunk/all,5488.0,-0.4173553719008265,2614.0,-0.595848595848596,2874.0,640.0,134,150,0.47183098591549294
decomp_poisson_calendar_mean/exclude_outage_severe,5916.0,-0.5278925619834711,2771.0,-0.6916971916971917,3145.0,911.0,149,154,0.49174917491749176
decomp_poisson_calendar_daytype/exclude_outage_severe,5987.0,-0.5462293388429753,2799.0,-0.7087912087912087,3188.0,954.0,151,155,0.4934640522875817
decomp_poisson_calendar_mean/quality_weighted,6142.0,-0.5862603305785123,2858.0,-0.7448107448107448,3284.0,1050.0,149,155,0.4901315789473684
poisson_direct_calendar/exclude_outage_severe,6198.0,-0.6007231404958677,2867.0,-0.7503052503052503,3331.0,1097.0,143,143,0.5
decomp_poisson_calendar_daytype/quality_weighted,6178.0,-0.5955578512396693,2872.0,-0.7533577533577533,3306.0,1072.0,151,154,0.49508196721311476
poisson_direct_calendar/quality_weighted,6485.0,-0.6748450413223142,3010.0,-0.8376068376068375,3475.0,1241.0,143,144,0.49825783972125437
decomp_poisson_calendar_vessel_daytype/exclude_outage_severe,6500.0,-0.6787190082644627,3034.0,-0.8522588522588523,3466.0,1232.0,153,157,0.4935483870967742
decomp_poisson_calendar_vessel_mean/exclude_outage_severe,6555.0,-0.6929235537190082,3067.0,-0.8724053724053724,3488.0,1254.0,154,154,0.5
poisson_direct_calendar_vessel/exclude_outage_severe,6620.0,-0.709710743801653,3097.0,-0.8907203907203907,3523.0,1289.0,154,157,0.49517684887459806
