date,rank,model_id,sse,baseline_sse,reduction,is_badcase
2018-01-19,1,decomp_mean_daytype_shrunk/all,481.0,525.0,0.08380952380952378,False
2018-01-19,2,decomp_ewm7_daytype_shrunk/quality_weighted,489.0,525.0,0.06857142857142862,False
2018-01-19,3,decomp_mean_mean/all,491.0,525.0,0.0647619047619048,False
2018-01-19,4,hour_mean/all,508.0,525.0,0.0323809523809524,False
2018-01-19,5,decomp_poisson_calendar_daytype/quality_weighted,511.0,525.0,0.026666666666666616,False
2018-01-19,6,decomp_ewm7_daytype_shrunk/all,514.0,525.0,0.020952380952380945,False
2018-01-19,7,decomp_poisson_calendar_daytype/exclude_outage_severe,519.0,525.0,0.011428571428571455,False
2018-01-19,8,decomp_poisson_calendar_vessel_daytype/exclude_outage_severe,522.0,525.0,0.005714285714285672,False
2018-01-19,9,decomp_poisson_calendar_mean/exclude_outage_severe,524.0,525.0,0.0019047619047618536,False
2018-01-19,10,decomp_mean_daytype_shrunk/exclude_outage_severe,525.0,525.0,0.0,False
2018-01-19,11,decomp_mean_daytype_shrunk/quality_weighted,529.0,525.0,-0.007619047619047636,False
2018-01-19,12,decomp_poisson_calendar_mean/quality_weighted,531.0,525.0,-0.011428571428571344,False
2018-01-19,13,decomp_poisson_calendar_vessel_mean/exclude_outage_severe,534.0,525.0,-0.017142857142857126,False
2018-01-19,14,decomp_ewm7_daytype_shrunk/exclude_outage_severe,542.0,525.0,-0.0323809523809524,False
2018-01-19,15,decomp_poisson_calendar_vessel_daytype/quality_weighted,546.0,525.0,-0.040000000000000036,False
2018-01-19,16,poisson_direct_calendar/exclude_outage_severe,556.0,525.0,-0.059047619047619015,False
2018-01-19,17,poisson_direct_calendar_vessel/exclude_outage_severe,556.0,525.0,-0.059047619047619015,False
2018-01-19,18,decomp_poisson_calendar_vessel_mean/quality_weighted,559.0,525.0,-0.0647619047619048,False
2018-01-19,19,decomp_ridge_calendar_daytype/exclude_outage_severe,559.0,525.0,-0.0647619047619048,False
2018-01-19,20,hour_mean/quality_weighted,560.0,525.0,-0.06666666666666665,False
2018-01-19,21,decomp_mean_mean/quality_weighted,567.0,525.0,-0.08000000000000007,False
2018-01-19,22,ridge_direct_calendar/quality_weighted,569.0,525.0,-0.08380952380952378,False
2018-01-19,23,decomp_mean_mean/exclude_outage_severe,571.0,525.0,-0.08761904761904771,False
2018-01-19,24,hour_mean/exclude_outage_severe,577.0,525.0,-0.09904761904761905,False
2018-01-19,25,decomp_ridge_calendar_mean/exclude_outage_severe,580.0,525.0,-0.10476190476190483,False
2018-01-19,26,poisson_direct_calendar_vessel/quality_weighted,581.0,525.0,-0.10666666666666669,False
2018-01-19,27,decomp_ridge_calendar_daytype/quality_weighted,590.0,525.0,-0.12380952380952381,False
2018-01-19,28,poisson_direct_calendar/quality_weighted,592.0,525.0,-0.12761904761904752,False
2018-01-19,29,decomp_ridge_calendar_mean/quality_weighted,619.0,525.0,-0.17904761904761912,False
2018-01-19,30,decomp_ridge_calendar_vessel_daytype/quality_weighted,621.0,525.0,-0.18285714285714283,False
2018-01-19,31,decomp_ridge_calendar_vessel_mean/quality_weighted,623.0,525.0,-0.18666666666666676,False
2018-01-19,32,decomp_ridge_calendar_vessel_daytype/exclude_outage_severe,634.0,525.0,-0.2076190476190476,False
