method,sse,reduction
nnls_0.5_hour_mean/quality_we_decomp_mean_daytype__decomp_mean_mean/qua,3860.0,0.0030991735537190257
nnls_0.5_hour_mean/quality_we_decomp_mean_daytype__decomp_mean_mean/qua,3860.0,0.0030991735537190257
nnls_0.5_hour_mean/quality_we_decomp_mean_daytype__decomp_mean_mean/qua,3860.0,0.0030991735537190257
nnls_0.5_hour_mean/quality_we_decomp_mean_daytype__decomp_mean_mean/qua,3860.0,0.0030991735537190257
mean_top3_hour_mean/quality_weighted+decomp_mean_mean/quality_weighted+hour_mean/exclude_outage_severe,3868.0,0.0010330578512396382
mean_top2_hour_mean/quality_weighted+decomp_mean_mean/quality_weighted,3910.0,-0.009814049586776896
mean_top2_hour_mean/quality_weighted+hour_mean/exclude_outage_severe,3940.0,-0.017561983471074294
mean_top3_hour_mean/quality_weighted+decomp_mean_mean/quality_weighted+hour_mean/all,3942.0,-0.018078512396694224
mean_top3_hour_mean/quality_weighted+hour_mean/exclude_outage_severe+hour_mean/all,3948.0,-0.019628099173553792
mean_top2_decomp_mean_mean/quality_weighted+hour_mean/exclude_outage_severe,3958.0,-0.022210743801653
mean_top3_hour_mean/quality_weighted+hour_mean/exclude_outage_severe+decomp_mean_mean/all,3988.0,-0.029958677685950397
mean_top3_decomp_mean_mean/quality_weighted+hour_mean/exclude_outage_severe+hour_mean/all,3990.0,-0.030475206611570327
mean_top3_hour_mean/quality_weighted+decomp_mean_mean/quality_weighted+decomp_mean_mean/all,4012.0,-0.03615702479338845
mean_top3_hour_mean/quality_weighted+hour_mean/exclude_outage_severe+decomp_mean_daytype_shrunk/all,4028.0,-0.040289256198347
mean_top3_decomp_mean_mean/quality_weighted+hour_mean/exclude_outage_severe+decomp_mean_mean/all,4030.0,-0.04080578512396693
mean_top5_hour_mean/quality_weighted+decomp_mean_mean/quality_weighted+hour_mean/exclude_outage_severe+hour_mean/all+decomp_mean_mean/all,4030.0,-0.04080578512396693
mean_top3_hour_mean/quality_weighted+decomp_mean_mean/quality_weighted+decomp_mean_daytype_shrunk/all,4036.0,-0.0423553719008265
mean_top3_decomp_mean_mean/quality_weighted+hour_mean/exclude_outage_severe+decomp_mean_daytype_shrunk/all,4066.0,-0.0501033057851239
mean_top5_hour_mean/quality_weighted+decomp_mean_mean/quality_weighted+hour_mean/exclude_outage_severe+hour_mean/all+decomp_mean_daytype_shrunk/all,4104.0,-0.05991735537190079
mean_top5_hour_mean/quality_weighted+decomp_mean_mean/quality_weighted+hour_mean/exclude_outage_severe+decomp_mean_mean/all+decomp_mean_daytype_shrunk/all,4120.0,-0.06404958677685957
mean_top3_hour_mean/quality_weighted+hour_mean/exclude_outage_severe+decomp_ewm7_daytype_shrunk/all,4172.0,-0.07747933884297531
mean_top5_hour_mean/quality_weighted+decomp_mean_mean/quality_weighted+hour_mean/exclude_outage_severe+decomp_mean_mean/all+decomp_ewm7_daytype_shrunk/all,4186.0,-0.08109504132231415
mean_top3_decomp_mean_mean/quality_weighted+hour_mean/exclude_outage_severe+decomp_ewm7_daytype_shrunk/all,4186.0,-0.08109504132231415
mean_top5_hour_mean/quality_weighted+decomp_mean_mean/quality_weighted+hour_mean/exclude_outage_severe+decomp_mean_daytype_shrunk/all+decomp_ewm7_daytype_shrunk/all,4190.0,-0.08212809917355379
mean_top5_hour_mean/quality_weighted+decomp_mean_mean/quality_weighted+hour_mean/exclude_outage_severe+hour_mean/all+decomp_ewm7_daytype_shrunk/all,4198.0,-0.08419421487603307
mean_top3_hour_mean/quality_weighted+decomp_mean_mean/quality_weighted+decomp_ewm7_daytype_shrunk/all,4200.0,-0.084710743801653
mean_top3_hour_mean/quality_weighted+hour_mean/exclude_outage_severe+decomp_poisson_calendar_daytype/exclude_outage_severe,4205.0,-0.08600206611570238
mean_top2_hour_mean/exclude_outage_severe+decomp_mean_daytype_shrunk/all,4210.0,-0.08729338842975198
mean_top2_decomp_mean_mean/quality_weighted+decomp_mean_daytype_shrunk/all,4212.0,-0.08780991735537191
mean_top3_hour_mean/quality_weighted+hour_mean/exclude_outage_severe+decomp_poisson_calendar_mean/quality_weighted,4212.0,-0.08780991735537191
mean_top3_hour_mean/quality_weighted+hour_mean/exclude_outage_severe+decomp_poisson_calendar_mean/exclude_outage_severe,4219.0,-0.08961776859504123
mean_top3_hour_mean/quality_weighted+decomp_mean_mean/quality_weighted+decomp_poisson_calendar_daytype/exclude_outage_severe,4220.0,-0.08987603305785119
mean_top5_hour_mean/quality_weighted+decomp_mean_mean/quality_weighted+hour_mean/exclude_outage_severe+hour_mean/all+decomp_poisson_calendar_daytype/exclude_outage_severe,4222.0,-0.09039256198347112
mean_top2_hour_mean/quality_weighted+hour_mean/all,4230.0,-0.0924586776859504
mean_top5_hour_mean/quality_weighted+decomp_mean_mean/quality_weighted+hour_mean/exclude_outage_severe+decomp_mean_mean/all+decomp_poisson_calendar_daytype/exclude_outage_severe,4233.0,-0.09323347107438007
mean_top2_hour_mean/exclude_outage_severe+decomp_mean_mean/all,4234.0,-0.09349173553719003
mean_top2_decomp_mean_mean/quality_weighted+hour_mean/all,4234.0,-0.09349173553719003
mean_top2_hour_mean/exclude_outage_severe+hour_mean/all,4234.0,-0.09349173553719003
mean_top2_hour_mean/quality_weighted+decomp_mean_daytype_shrunk/all,4236.0,-0.09400826446280997
mean_top3_decomp_mean_mean/quality_weighted+hour_mean/exclude_outage_severe+decomp_poisson_calendar_daytype/exclude_outage_severe,4238.0,-0.09452479338842967
mean_top5_hour_mean/quality_weighted+decomp_mean_mean/quality_weighted+hour_mean/exclude_outage_severe+decomp_mean_mean/all+decomp_poisson_calendar_mean/exclude_outage_severe,4238.0,-0.09452479338842967
mean_top5_hour_mean/quality_weighted+decomp_mean_mean/quality_weighted+hour_mean/exclude_outage_severe+decomp_ewm7_daytype_shrunk/all+decomp_poisson_calendar_daytype/exclude_outage_severe,4240.0,-0.0950413223140496
mean_top3_decomp_mean_mean/quality_weighted+hour_mean/exclude_outage_severe+decomp_poisson_calendar_mean/quality_weighted,4243.0,-0.09581611570247928
mean_top3_hour_mean/quality_weighted+decomp_mean_mean/quality_weighted+decomp_poisson_calendar_mean/exclude_outage_severe,4243.0,-0.09581611570247928
mean_top5_hour_mean/quality_weighted+decomp_mean_mean/quality_weighted+hour_mean/exclude_outage_severe+hour_mean/all+decomp_poisson_calendar_mean/exclude_outage_severe,4243.0,-0.09581611570247928
mean_top5_hour_mean/quality_weighted+decomp_mean_mean/quality_weighted+hour_mean/exclude_outage_severe+decomp_mean_mean/all+decomp_poisson_calendar_mean/quality_weighted,4244.0,-0.09607438016528924
