model_id,source_step,deployable,uses_target_truth,exact_oof_available,included_in_pool,exclusion_reason
decomp_ewm7_daytype_shrunk/all,step07,True,False,True,True,
decomp_ewm7_daytype_shrunk/exclude_outage_severe,step07,True,False,True,True,
decomp_ewm7_daytype_shrunk/quality_weighted,step07,True,False,True,True,
decomp_mean_daytype_shrunk/all,step07,True,False,True,True,
decomp_mean_daytype_shrunk/exclude_outage_severe,step07,True,False,True,True,
decomp_mean_daytype_shrunk/quality_weighted,step07,True,False,True,True,
decomp_mean_mean/all,step07,True,False,True,True,
decomp_mean_mean/exclude_outage_severe,step07,True,False,True,True,
decomp_mean_mean/quality_weighted,step07,True,False,True,True,
decomp_poisson_calendar_daytype/all,step07,True,False,True,True,
decomp_poisson_calendar_daytype/exclude_outage_severe,step07,True,False,True,True,
decomp_poisson_calendar_daytype/quality_weighted,step07,True,False,True,True,
decomp_poisson_calendar_mean/all,step07,True,False,True,True,
decomp_poisson_calendar_mean/exclude_outage_severe,step07,True,False,True,True,
decomp_poisson_calendar_mean/quality_weighted,step07,True,False,True,True,
decomp_poisson_calendar_vessel_daytype/all,step07,True,False,True,True,
decomp_poisson_calendar_vessel_daytype/exclude_outage_severe,step07,True,False,True,True,
decomp_poisson_calendar_vessel_daytype/quality_weighted,step07,True,False,True,True,
decomp_poisson_calendar_vessel_mean/all,step07,True,False,True,True,
decomp_poisson_calendar_vessel_mean/exclude_outage_severe,step07,True,False,True,True,
decomp_poisson_calendar_vessel_mean/quality_weighted,step07,True,False,True,True,
decomp_ridge_calendar_daytype/all,step07,True,False,True,True,
decomp_ridge_calendar_daytype/exclude_outage_severe,step07,True,False,True,True,
decomp_ridge_calendar_daytype/quality_weighted,step07,True,False,True,True,
decomp_ridge_calendar_mean/all,step07,True,False,True,True,
decomp_ridge_calendar_mean/exclude_outage_severe,step07,True,False,True,True,
decomp_ridge_calendar_mean/quality_weighted,step07,True,False,True,True,
decomp_ridge_calendar_vessel_daytype/all,step07,True,False,True,True,
decomp_ridge_calendar_vessel_daytype/exclude_outage_severe,step07,True,False,True,True,
decomp_ridge_calendar_vessel_daytype/quality_weighted,step07,True,False,True,True,
decomp_ridge_calendar_vessel_mean/all,step07,True,False,True,True,
decomp_ridge_calendar_vessel_mean/exclude_outage_severe,step07,True,False,True,True,
decomp_ridge_calendar_vessel_mean/quality_weighted,step07,True,False,True,True,
hour_mean/all,step07,True,False,True,True,
hour_mean/exclude_outage_severe,step07,True,False,True,True,
hour_mean/quality_weighted,step07,True,False,True,True,
poisson_direct_calendar/all,step07,True,False,True,True,
poisson_direct_calendar/exclude_outage_severe,step07,True,False,True,True,
poisson_direct_calendar/quality_weighted,step07,True,False,True,True,
poisson_direct_calendar_vessel/all,step07,True,False,True,True,
poisson_direct_calendar_vessel/exclude_outage_severe,step07,True,False,True,True,
poisson_direct_calendar_vessel/quality_weighted,step07,True,False,True,True,
ridge_direct_calendar/all,step07,True,False,True,True,
ridge_direct_calendar/exclude_outage_severe,step07,True,False,True,True,
ridge_direct_calendar/quality_weighted,step07,True,False,True,True,
ridge_direct_calendar_vessel/all,step07,True,False,True,True,
ridge_direct_calendar_vessel/exclude_outage_severe,step07,True,False,True,True,
ridge_direct_calendar_vessel/quality_weighted,step07,True,False,True,True,
