model_1,model_2,prediction_correlation,residual_correlation,model_1_unique_win_days,model_2_unique_win_days
decomp_mean_daytype_shrunk/quality_weighted,decomp_ridge_calendar_mean/all,0.5329511307448364,0.752763389340406,2,0
decomp_mean_daytype_shrunk/quality_weighted,decomp_ridge_calendar_daytype/all,0.5338262558507822,0.7539267206958808,2,0
decomp_mean_mean/quality_weighted,decomp_ridge_calendar_mean/all,0.5310978581663215,0.7561811066190088,2,0
decomp_mean_mean/quality_weighted,decomp_ridge_calendar_daytype/all,0.5287732366107536,0.7567410473399971,2,0
decomp_mean_daytype_shrunk/exclude_outage_severe,decomp_ridge_calendar_mean/all,0.5338405897335727,0.7588003250118934,0,0
decomp_mean_daytype_shrunk/exclude_outage_severe,decomp_ridge_calendar_daytype/all,0.5336508481613292,0.759759416584775,0,0
decomp_mean_mean/exclude_outage_severe,decomp_ridge_calendar_mean/all,0.5318450550198831,0.7624095569547259,3,0
decomp_mean_mean/exclude_outage_severe,decomp_ridge_calendar_daytype/all,0.5274764530501804,0.7625860730424966,3,0
decomp_ridge_calendar_daytype/all,hour_mean/exclude_outage_severe,0.5256094797797457,0.7651876410438982,0,3
decomp_ridge_calendar_daytype/all,hour_mean/quality_weighted,0.5274274009689778,0.7654572500044335,0,2
decomp_ridge_calendar_mean/all,hour_mean/exclude_outage_severe,0.5343498810157139,0.7657976281503067,0,3
decomp_ridge_calendar_mean/all,hour_mean/quality_weighted,0.5362837622377841,0.7660839753580224,0,2
decomp_mean_daytype_shrunk/quality_weighted,decomp_ridge_calendar_vessel_daytype/all,0.613566224204355,0.7722550368328764,2,0
decomp_mean_daytype_shrunk/quality_weighted,decomp_ridge_calendar_vessel_mean/all,0.6108460756779552,0.7733092000238017,2,0
decomp_mean_mean/quality_weighted,decomp_ridge_calendar_vessel_daytype/all,0.6091079910843945,0.7748537207288416,2,0
decomp_mean_mean/quality_weighted,decomp_ridge_calendar_vessel_mean/all,0.6101840112920996,0.7767212684201298,2,0
decomp_mean_daytype_shrunk/exclude_outage_severe,decomp_ridge_calendar_vessel_daytype/all,0.6178943752158153,0.7788254544163183,0,0
decomp_mean_daytype_shrunk/exclude_outage_severe,decomp_ridge_calendar_vessel_mean/all,0.6112569910780576,0.7790360878913698,0,0
decomp_mean_mean/exclude_outage_severe,decomp_ridge_calendar_vessel_daytype/all,0.607369766991471,0.7802769724456299,3,0
decomp_mean_mean/exclude_outage_severe,decomp_ridge_calendar_vessel_mean/all,0.6103905304757125,0.782529815052384,3,0
decomp_ridge_calendar_vessel_daytype/all,hour_mean/exclude_outage_severe,0.6091540034544375,0.7834543442918802,0,3
decomp_ridge_calendar_vessel_daytype/all,hour_mean/quality_weighted,0.6109056695705368,0.7838135579772803,0,2
decomp_ridge_calendar_vessel_mean/all,hour_mean/exclude_outage_severe,0.6122333205373874,0.7856945624858516,0,3
decomp_ridge_calendar_vessel_mean/all,hour_mean/quality_weighted,0.6129928005569395,0.7858779835071915,0,2
decomp_ewm7_daytype_shrunk/exclude_outage_severe,decomp_ridge_calendar_mean/all,0.5362946882344439,0.7897022725310056,1,0
decomp_ewm7_daytype_shrunk/exclude_outage_severe,decomp_ridge_calendar_daytype/all,0.5373125750744333,0.7907736154677099,1,0
decomp_ewm7_daytype_shrunk/quality_weighted,decomp_ridge_calendar_mean/all,0.5419846872218995,0.7978398638619295,2,0
decomp_ewm7_daytype_shrunk/quality_weighted,decomp_ridge_calendar_daytype/all,0.5438717290879963,0.7990726566600984,2,0
decomp_ewm7_daytype_shrunk/exclude_outage_severe,decomp_ridge_calendar_vessel_daytype/all,0.6191013245743214,0.807925703135509,1,0
decomp_ewm7_daytype_shrunk/exclude_outage_severe,decomp_ridge_calendar_vessel_mean/all,0.6164962464199125,0.808905186170009,1,0
decomp_mean_daytype_shrunk/quality_weighted,ridge_direct_calendar/exclude_outage_severe,0.7425569795020791,0.8110284316825765,2,0
decomp_mean_daytype_shrunk/quality_weighted,poisson_direct_calendar/all,0.8804924751260796,0.8144048204214419,2,0
decomp_mean_daytype_shrunk/quality_weighted,ridge_direct_calendar/all,0.7043800108389644,0.8147547871634915,2,0
decomp_ewm7_daytype_shrunk/quality_weighted,decomp_ridge_calendar_vessel_daytype/all,0.6231282197633866,0.815647969026348,2,0
decomp_mean_mean/quality_weighted,ridge_direct_calendar/exclude_outage_severe,0.7473589160656626,0.8157692154270033,2,0
decomp_ewm7_daytype_shrunk/quality_weighted,decomp_ridge_calendar_vessel_mean/all,0.6182657526600227,0.8162202426458922,2,0
