block,oracle,sse,baseline_sse,reduction
block_pre_normal,oracle_true_C,1319.0,2729.0,0.5166727739098571
block_pre_normal,oracle_true_M,2489.0,2729.0,0.08794430194210334
block_pre_normal,oracle_true_Q,1926.0,2729.0,0.29424697691462076
block_pre_normal,oracle_true_Q23,2120.0,2729.0,0.22315866617808722
block_pre_normal,oracle_true_stable_ge5,847.0,2729.0,0.6896299010626603
block_pre_normal,oracle_true_borderline,3095.0,2729.0,-0.13411506046170762
block_pre_normal,oracle_true_CQ,891.0,2729.0,0.6735067790399414
block_target_like,oracle_true_C,1537.0,3399.0,0.54780817887614
block_target_like,oracle_true_M,2895.0,3399.0,0.14827890556045897
block_target_like,oracle_true_Q,3215.0,3399.0,0.054133568696675516
block_target_like,oracle_true_Q23,3262.0,3399.0,0.04030597234480726
block_target_like,oracle_true_stable_ge5,1196.0,3399.0,0.6481318034716093
block_target_like,oracle_true_borderline,3312.0,3399.0,0.02559576345984116
block_target_like,oracle_true_CQ,1364.0,3399.0,0.598705501618123
block_post_outage_stress,oracle_true_C,1786.0,3872.0,0.5387396694214877
block_post_outage_stress,oracle_true_M,3364.0,3872.0,0.13119834710743805
block_post_outage_stress,oracle_true_Q,3648.0,3872.0,0.05785123966942152
block_post_outage_stress,oracle_true_Q23,3684.0,3872.0,0.04855371900826444
block_post_outage_stress,oracle_true_stable_ge5,1347.0,3872.0,0.6521177685950413
block_post_outage_stress,oracle_true_borderline,3869.0,3872.0,0.0007747933884297842
block_post_outage_stress,oracle_true_CQ,1746.0,3872.0,0.5490702479338843
