date,quality,C_daily,M_daily,Q_daily,Q12_daily,Q23_daily,stable_daily,borderline_daily,near_miss_daily,A_daily,U_d
2018-01-01,normal,261.0,1.3208734362759131,0.9496412498364831,0.9590473584337681,0.990181869849389,317.0,14.0,4.0,331.0,49
2018-01-02,normal,289.0,1.361171755410339,0.9577214854388768,0.9748666088340002,0.982141510450334,372.0,8.0,6.0,380.0,53
2018-01-03,normal,284.0,1.3445843920011875,0.9496006030532884,0.9671785999711191,0.9817291328840243,357.0,7.0,8.0,364.0,58
2018-01-04,normal,246.0,1.3513671309627193,0.9160990112470376,0.9606883491751913,0.9527116402116403,304.0,12.0,9.0,316.0,55
2018-01-05,normal,246.0,1.366806736650003,0.9423584730328152,0.957661956099456,0.9829660252028672,310.0,14.0,6.0,324.0,57
2018-01-06,normal,243.0,1.324293537345008,0.94351927386694,0.9573707172220599,0.9856233465608466,299.0,5.0,5.0,304.0,61
2018-01-07,normal,294.0,1.3384327848579012,0.943933641797063,0.9639978369863428,0.9780610021786492,342.0,21.0,10.0,363.0,60
2018-01-08,normal,241.0,1.3560689582748406,0.9146082598608175,0.9439129219979604,0.9682357445902339,290.0,12.0,8.0,302.0,56
2018-01-09,normal,247.0,1.3976919186478007,0.83543024835788,0.9115424049634576,0.9045357014416613,270.0,26.0,32.0,296.0,54
2018-01-10,normal,247.0,1.3283755460226045,0.7993619227994229,0.9046108405483405,0.8704581672412554,237.0,26.0,34.0,263.0,54
2018-01-11,normal,242.0,1.3447593893607825,0.8162300238959278,0.8932077944091675,0.9091734076109077,223.0,41.0,26.0,264.0,54
2018-01-12,reduced,280.0,1.202275750529427,0.6755843159964675,0.792977983989981,0.8392527246145667,155.0,76.0,40.0,231.0,57
2018-01-13,outage,252.0,1.2995010543578653,0.5248953374340372,0.7447179626359194,0.7035732542311489,89.0,84.0,66.0,173.0,55
2018-01-14,outage,165.0,0.7351001633170751,0.2943129474011827,0.45828562232973996,0.36967694972725934,56.0,55.0,58.0,111.0,53
2018-01-15,outage,178.0,0.925653758722644,0.32363066432048626,0.46831077387095194,0.46007181314843854,51.0,64.0,49.0,115.0,47
2018-01-16,outage,244.0,1.2553524113557009,0.42913805270083594,0.6948301963979545,0.6008272977022977,65.0,94.0,70.0,159.0,53
2018-01-17,severe,225.0,1.1690349611402242,0.4659004349889171,0.6923454118927518,0.6700370809745809,48.0,72.0,62.0,120.0,48
2018-01-18,severe,269.0,1.2203851057711352,0.4981789640857988,0.7411347509484877,0.6619956568485981,93.0,78.0,81.0,171.0,46
2018-01-19,normal,225.0,1.239242932992933,0.7099047985754642,0.7670130838087496,0.7647228752527665,220.0,27.0,18.0,247.0,52
2018-01-20,normal,308.0,1.3782844633221956,0.9220773770528673,0.9702034793456362,0.9503440656565655,390.0,10.0,14.0,400.0,55
2018-01-21,normal,296.0,1.4275409642959953,0.9497097593212892,0.9619602780256122,0.9874777421652422,395.0,12.0,4.0,407.0,54
2018-01-22,normal,222.0,1.2743507649757648,0.9197148983913691,0.9441375413801886,0.9736123081711318,253.0,8.0,6.0,261.0,52
2018-01-23,normal,249.0,1.3813918176050528,0.9176044880247467,0.938408510391269,0.9780753968253969,311.0,14.0,8.0,325.0,48
2018-01-24,normal,289.0,1.3518209251761883,0.9065137990346281,0.9387070252913078,0.9639358326858326,344.0,22.0,11.0,366.0,48
