date,hour,region,quality,N_ge1,N_ge2,N_ge3,N_ge4,N_ge5,N_ge6,N_eq1,N_eq2,N_eq3,N_eq4,active_rows,active_mmsi
2018-01-01,0,core,normal,2,2,2,2,2,2,0,0,0,0,91,2
2018-01-01,0,near,normal,0,0,0,0,0,0,0,0,0,0,0,0
2018-01-01,0,outer,normal,1,1,1,1,1,1,0,0,0,0,142,1
2018-01-01,1,core,normal,0,0,0,0,0,0,0,0,0,0,0,0
2018-01-01,1,near,normal,2,2,2,2,2,2,0,0,0,0,19,2
2018-01-01,1,outer,normal,1,1,1,1,1,1,0,0,0,0,35,1
2018-01-01,2,core,normal,6,6,6,6,4,4,0,0,0,2,203,6
2018-01-01,2,near,normal,2,2,2,2,2,2,0,0,0,0,174,2
2018-01-01,2,outer,normal,0,0,0,0,0,0,0,0,0,0,0,0
2018-01-01,3,core,normal,14,13,13,13,13,13,1,0,0,0,629,14
2018-01-01,3,near,normal,3,3,3,3,3,2,0,0,0,0,80,3
2018-01-01,3,outer,normal,0,0,0,0,0,0,0,0,0,0,0,0
2018-01-01,4,core,normal,5,5,5,5,5,5,0,0,0,0,174,5
2018-01-01,4,near,normal,2,2,2,2,2,2,0,0,0,0,252,2
2018-01-01,4,outer,normal,1,1,1,1,1,1,0,0,0,0,80,1
2018-01-01,5,core,normal,1,1,1,1,1,1,0,0,0,0,170,1
2018-01-01,5,near,normal,0,0,0,0,0,0,0,0,0,0,0,0
2018-01-01,5,outer,normal,1,1,1,1,1,1,0,0,0,0,38,1
2018-01-01,6,core,normal,12,12,12,12,12,12,0,0,0,0,710,12
2018-01-01,6,near,normal,5,5,5,5,5,5,0,0,0,0,316,5
2018-01-01,6,outer,normal,0,0,0,0,0,0,0,0,0,0,0,0
2018-01-01,7,core,normal,12,12,12,12,12,12,0,0,0,0,815,12
2018-01-01,7,near,normal,13,13,13,13,12,12,0,0,0,1,1015,13
2018-01-01,7,outer,normal,0,0,0,0,0,0,0,0,0,0,0,0
2018-01-01,8,core,normal,10,10,10,10,10,10,0,0,0,0,414,10
2018-01-01,8,near,normal,9,9,9,7,6,6,0,0,2,1,187,9
2018-01-01,8,outer,normal,3,3,3,3,2,2,0,0,0,1,317,3
2018-01-01,9,core,normal,3,2,2,2,1,1,1,0,0,1,32,3
2018-01-01,9,near,normal,4,3,3,3,3,3,1,0,0,0,112,4
2018-01-01,9,outer,normal,2,1,1,1,1,1,1,0,0,0,39,2
2018-01-01,10,core,normal,4,4,4,4,4,2,0,0,0,0,65,4
2018-01-01,10,near,normal,4,4,4,4,4,4,0,0,0,0,118,4
2018-01-01,10,outer,normal,3,3,3,3,3,3,0,0,0,0,23,3
2018-01-01,11,core,normal,13,13,13,13,13,13,0,0,0,0,1129,13
2018-01-01,11,near,normal,6,6,6,6,6,6,0,0,0,0,370,6
2018-01-01,11,outer,normal,3,3,3,2,2,2,0,0,1,0,170,3
2018-01-01,12,core,normal,11,11,10,10,10,10,0,1,0,0,812,11
2018-01-01,12,near,normal,3,3,3,3,3,3,0,0,0,0,112,3
2018-01-01,12,outer,normal,6,6,6,6,6,5,0,0,0,0,809,6
2018-01-01,13,core,normal,2,2,2,1,1,1,0,0,1,0,75,2
2018-01-01,13,near,normal,3,2,2,2,2,2,1,0,0,0,192,3
2018-01-01,13,outer,normal,5,4,4,4,4,4,1,0,0,0,398,5
2018-01-01,14,core,normal,8,8,8,8,8,8,0,0,0,0,1258,8
2018-01-01,14,near,normal,6,6,6,6,5,5,0,0,0,1,373,6
2018-01-01,14,outer,normal,3,3,2,1,1,1,0,1,1,0,22,3
2018-01-01,15,core,normal,10,9,9,9,9,9,1,0,0,0,1198,10
2018-01-01,15,near,normal,9,9,8,8,7,7,0,1,0,1,575,9
2018-01-01,15,outer,normal,6,5,5,4,4,4,1,0,1,0,686,6
2018-01-01,16,core,normal,11,11,11,11,11,11,0,0,0,0,472,11
2018-01-01,16,near,normal,3,3,3,3,3,3,0,0,0,0,307,3
2018-01-01,16,outer,normal,4,4,4,4,4,4,0,0,0,0,913,4
2018-01-01,17,core,normal,3,3,3,3,3,3,0,0,0,0,143,3
2018-01-01,17,near,normal,2,2,2,2,2,2,0,0,0,0,198,2
2018-01-01,17,outer,normal,0,0,0,0,0,0,0,0,0,0,0,0
2018-01-01,18,core,normal,11,11,11,11,11,11,0,0,0,0,1166,11
2018-01-01,18,near,normal,7,7,7,7,7,7,0,0,0,0,359,7
2018-01-01,18,outer,normal,1,1,1,1,1,1,0,0,0,0,325,1
2018-01-01,19,core,normal,13,13,13,13,13,13,0,0,0,0,735,13
2018-01-01,19,near,normal,12,12,12,12,12,12,0,0,0,0,1778,12
2018-01-01,19,outer,normal,4,3,3,3,3,3,1,0,0,0,272,4
2018-01-01,20,core,normal,6,5,5,5,5,5,1,0,0,0,346,6
2018-01-01,20,near,normal,5,5,4,4,4,4,0,1,0,0,155,5
2018-01-01,20,outer,normal,2,2,2,2,2,2,0,0,0,0,509,2
2018-01-01,21,core,normal,6,5,5,5,5,5,1,0,0,0,309,6
2018-01-01,21,near,normal,5,5,5,5,5,4,0,0,0,0,241,5
2018-01-01,21,outer,normal,2,1,1,1,1,1,1,0,0,0,296,2
2018-01-01,22,core,normal,6,6,6,6,6,6,0,0,0,0,458,6
2018-01-01,22,near,normal,3,3,3,3,3,3,0,0,0,0,253,3
2018-01-01,22,outer,normal,1,1,1,1,1,1,0,0,0,0,64,1
2018-01-01,23,core,normal,15,15,15,15,15,15,0,0,0,0,1549,15
2018-01-01,23,near,normal,5,4,4,4,4,4,1,0,0,0,431,5
2018-01-01,23,outer,normal,2,2,2,2,2,2,0,0,0,0,229,2
2018-01-02,0,core,normal,9,8,8,8,8,8,1,0,0,0,560,9
2018-01-02,0,near,normal,1,1,1,1,1,1,0,0,0,0,15,1
2018-01-02,0,outer,normal,3,3,3,3,3,3,0,0,0,0,851,3
2018-01-02,1,core,normal,0,0,0,0,0,0,0,0,0,0,0,0
2018-01-02,1,near,normal,0,0,0,0,0,0,0,0,0,0,0,0
2018-01-02,1,outer,normal,3,3,3,3,3,3,0,0,0,0,413,3
2018-01-02,2,core,normal,1,1,1,1,1,1,0,0,0,0,173,1
2018-01-02,2,near,normal,3,3,3,3,3,3,0,0,0,0,109,3
2018-01-02,2,outer,normal,1,1,1,1,1,1,0,0,0,0,275,1
2018-01-02,3,core,normal,13,13,13,13,13,13,0,0,0,0,1702,13
2018-01-02,3,near,normal,6,6,6,6,6,6,0,0,0,0,307,6
2018-01-02,3,outer,normal,1,1,0,0,0,0,0,1,0,0,2,1
2018-01-02,4,core,normal,8,8,8,8,8,8,0,0,0,0,355,8
2018-01-02,4,near,normal,2,2,2,2,2,2,0,0,0,0,158,2
2018-01-02,4,outer,normal,2,2,2,2,2,2,0,0,0,0,421,2
2018-01-02,5,core,normal,6,6,6,6,6,6,0,0,0,0,368,6
2018-01-02,5,near,normal,1,1,1,1,1,1,0,0,0,0,181,1
2018-01-02,5,outer,normal,3,3,3,3,3,3,0,0,0,0,406,3
2018-01-02,6,core,normal,13,13,13,13,13,13,0,0,0,0,979,13
2018-01-02,6,near,normal,7,7,7,7,7,7,0,0,0,0,520,7
2018-01-02,6,outer,normal,2,2,2,2,2,2,0,0,0,0,121,2
2018-01-02,7,core,normal,12,12,12,12,12,12,0,0,0,0,801,12
2018-01-02,7,near,normal,12,12,12,12,12,12,0,0,0,0,1073,12
2018-01-02,7,outer,normal,4,4,4,4,4,4,0,0,0,0,618,4
2018-01-02,8,core,normal,6,6,5,5,5,5,0,1,0,0,274,6
2018-01-02,8,near,normal,6,6,6,5,5,5,0,0,1,0,371,6
2018-01-02,8,outer,normal,6,5,5,5,5,5,1,0,0,0,555,6
2018-01-02,9,core,normal,4,4,4,4,3,3,0,0,0,1,332,4
2018-01-02,9,near,normal,3,2,1,1,1,1,1,1,0,0,10,3
2018-01-02,9,outer,normal,8,8,8,8,8,7,0,0,0,0,1601,8
2018-01-02,10,core,normal,6,6,6,6,6,6,0,0,0,0,987,6
2018-01-02,10,near,normal,8,8,8,8,8,8,0,0,0,0,488,8
2018-01-02,10,outer,normal,7,7,7,7,7,7,0,0,0,0,1023,7
2018-01-02,11,core,normal,9,9,9,9,9,9,0,0,0,0,689,9
2018-01-02,11,near,normal,8,8,8,7,7,7,0,0,1,0,662,8
2018-01-02,11,outer,normal,2,2,2,2,2,2,0,0,0,0,130,2
2018-01-02,12,core,normal,6,6,6,6,6,6,0,0,0,0,275,6
2018-01-02,12,near,normal,4,4,4,4,4,4,0,0,0,0,176,4
2018-01-02,12,outer,normal,6,6,6,6,6,6,0,0,0,0,316,6
2018-01-02,13,core,normal,8,8,8,8,8,8,0,0,0,0,221,8
2018-01-02,13,near,normal,7,7,7,7,7,7,0,0,0,0,779,7
2018-01-02,13,outer,normal,5,5,5,5,5,5,0,0,0,0,725,5
2018-01-02,14,core,normal,11,10,10,10,10,10,1,0,0,0,1378,11
2018-01-02,14,near,normal,10,9,9,8,7,7,1,0,1,1,607,10
2018-01-02,14,outer,normal,2,2,2,2,2,2,0,0,0,0,76,2
2018-01-02,15,core,normal,13,13,13,12,12,11,0,0,1,0,1297,13
2018-01-02,15,near,normal,9,8,8,8,7,7,1,0,0,1,573,9
2018-01-02,15,outer,normal,2,2,2,2,2,2,0,0,0,0,199,2
2018-01-02,16,core,normal,12,12,12,12,12,12,0,0,0,0,660,12
2018-01-02,16,near,normal,7,6,6,6,6,6,1,0,0,0,775,7
2018-01-02,16,outer,normal,5,5,5,5,5,5,0,0,0,0,679,5
2018-01-02,17,core,normal,5,5,5,5,5,5,0,0,0,0,476,5
2018-01-02,17,near,normal,3,3,3,3,3,3,0,0,0,0,350,3
