block,method,sse,baseline_sse,reduction
block_pre_normal,Ctotal_long_mean,2721.0,2729.0,0.0029314767314034818
block_pre_normal,Ctotal_recent3,2615.0,2729.0,0.04177354342249906
block_pre_normal,Ctotal_recent6,2715.0,2729.0,0.005130084279955982
block_pre_normal,Ctotal_lag7_normal,2830.0,2729.0,-0.03700989373396846
block_pre_normal,Ctotal_lag14_normal,2721.0,2729.0,0.0029314767314034818
block_pre_normal,occupancy_long,2624.0,2729.0,0.0384756320996702
block_pre_normal,occupancy_recent6,2569.0,2729.0,0.05862953462806886
block_pre_normal,occupancy_lag7_normal,2861.0,2729.0,-0.04836936606815678
block_target_like,Ctotal_long_mean,3483.0,3399.0,-0.024713150926743088
block_target_like,Ctotal_recent3,3581.0,3399.0,-0.053545160341276876
block_target_like,Ctotal_recent6,3474.0,3399.0,-0.02206531332744932
block_target_like,Ctotal_lag7_normal,3483.0,3399.0,-0.024713150926743088
block_target_like,Ctotal_lag14_normal,3436.0,3399.0,-0.010885554574874945
block_target_like,occupancy_long,3550.0,3399.0,-0.04442483083259785
block_target_like,occupancy_recent6,3601.0,3399.0,-0.05942924389526327
block_target_like,occupancy_lag7_normal,3550.0,3399.0,-0.04442483083259785
block_post_outage_stress,Ctotal_long_mean,3946.0,3872.0,-0.019111570247933862
block_post_outage_stress,Ctotal_recent3,3980.0,3872.0,-0.02789256198347112
block_post_outage_stress,Ctotal_recent6,3942.0,3872.0,-0.018078512396694224
block_post_outage_stress,Ctotal_lag7_normal,3946.0,3872.0,-0.019111570247933862
block_post_outage_stress,Ctotal_lag14_normal,3941.0,3872.0,-0.01782024793388426
block_post_outage_stress,occupancy_long,3990.0,3872.0,-0.030475206611570327
block_post_outage_stress,occupancy_recent6,4055.0,3872.0,-0.04726239669421495
block_post_outage_stress,occupancy_lag7_normal,3990.0,3872.0,-0.030475206611570327
