date,quality,U_d,C_total,active_hours_per_vessel,day_type,lag7_quality,lag14_quality,previous_normal_run
2018-01-01,normal,49,261.0,5.326530612244898,weekday,n/a,n/a,0
2018-01-02,normal,53,289.0,5.452830188679245,weekday,n/a,n/a,1
2018-01-03,normal,58,284.0,4.896551724137931,weekday,n/a,n/a,2
2018-01-04,normal,55,246.0,4.472727272727273,weekday,n/a,n/a,3
2018-01-05,normal,57,246.0,4.315789473684211,weekday,n/a,n/a,4
2018-01-06,normal,61,243.0,3.9836065573770494,weekend,n/a,n/a,5
2018-01-07,normal,60,294.0,4.9,weekend,n/a,n/a,6
2018-01-08,normal,56,241.0,4.303571428571429,weekday,normal,n/a,7
2018-01-09,normal,54,247.0,4.574074074074074,weekday,normal,n/a,8
2018-01-10,normal,54,247.0,4.574074074074074,weekday,normal,n/a,9
2018-01-11,normal,54,242.0,4.481481481481482,weekday,normal,n/a,10
2018-01-12,reduced,57,280.0,4.912280701754386,weekday,normal,n/a,11
2018-01-13,outage,55,252.0,4.581818181818182,weekend,normal,n/a,0
2018-01-14,outage,53,165.0,3.1132075471698113,weekend,normal,n/a,0
2018-01-15,outage,47,178.0,3.7872340425531914,weekday,normal,normal,0
2018-01-16,outage,53,244.0,4.60377358490566,weekday,normal,normal,0
2018-01-17,severe,48,225.0,4.6875,weekday,normal,normal,0
2018-01-18,severe,46,269.0,5.8478260869565215,weekday,normal,normal,0
2018-01-19,normal,52,225.0,4.326923076923077,weekday,reduced,normal,0
2018-01-20,normal,55,308.0,5.6,weekend,outage,normal,1
2018-01-21,normal,54,296.0,5.481481481481482,weekend,outage,normal,2
2018-01-22,normal,52,222.0,4.269230769230769,weekday,outage,normal,3
2018-01-23,normal,48,249.0,5.1875,weekday,outage,normal,4
2018-01-24,normal,48,289.0,6.020833333333333,weekday,severe,normal,5
