block,method,deployable,sse,baseline_sse,reduction_ratio
block_pre_normal,profile_long,True,2847.0,2729.0,-0.0432392817882008
block_pre_normal,profile_daytype,True,2863.0,2729.0,-0.049102235251007764
block_pre_normal,profile_recent3,True,3057.0,2729.0,-0.1201905459875412
block_pre_normal,profile_recent6,True,3057.0,2729.0,-0.1201905459875412
block_pre_normal,profile_lag7_direct,True,3419.0,2729.0,-0.2528398680835471
block_pre_normal,profile_lag14_direct,True,2847.0,2729.0,-0.0432392817882008
block_pre_normal,profile_lag_fallback,True,3419.0,2729.0,-0.2528398680835471
block_pre_normal,oracle_true_profile,False,1625.0,2729.0,0.4045437889336754
block_target_like,profile_long,True,3437.0,3399.0,-0.011179758752574376
block_target_like,profile_daytype,True,3388.0,3399.0,0.003236245954692518
block_target_like,profile_recent3,True,3613.0,3399.0,-0.06295969402765511
block_target_like,profile_recent6,True,3613.0,3399.0,-0.06295969402765511
block_target_like,profile_lag7_direct,True,3437.0,3399.0,-0.011179758752574376
block_target_like,profile_lag14_direct,True,4301.0,3399.0,-0.2653721682847896
block_target_like,profile_lag_fallback,True,4301.0,3399.0,-0.2653721682847896
block_target_like,oracle_true_profile,False,1893.0,3399.0,0.4430714916151809
block_post_outage_stress,profile_long,True,3962.0,3872.0,-0.023243801652892637
block_post_outage_stress,profile_daytype,True,4000.0,3872.0,-0.03305785123966931
block_post_outage_stress,profile_recent3,True,4376.0,3872.0,-0.1301652892561984
block_post_outage_stress,profile_recent6,True,4376.0,3872.0,-0.1301652892561984
block_post_outage_stress,profile_lag7_direct,True,3962.0,3872.0,-0.023243801652892637
block_post_outage_stress,profile_lag14_direct,True,4969.0,3872.0,-0.2833161157024793
block_post_outage_stress,profile_lag_fallback,True,4969.0,3872.0,-0.2833161157024793
block_post_outage_stress,oracle_true_profile,False,2138.0,3872.0,0.4478305785123967
block_pre_normal,exact_step11_baseline,True,2729.0,2729.0,0.0
block_target_like,exact_step11_baseline,True,3399.0,3399.0,0.0
block_post_outage_stress,exact_step11_baseline,True,3872.0,3872.0,0.0
