block,method,deployable,sse,baseline_sse,reduction_ratio
block_pre_normal,M2_template_a0.1,True,2729.0,2729.0,0.0
block_pre_normal,M2_template_a0.25,True,2778.0,2729.0,-0.017955294979846048
block_pre_normal,M2_template_a0.5,True,2714.0,2729.0,0.005496518871381473
block_pre_normal,M2_template_a1.0,True,3053.0,2729.0,-0.11872480762183946
block_pre_normal,solar12_template_a0.1,True,2729.0,2729.0,0.0
block_pre_normal,solar12_template_a0.25,True,2643.0,2729.0,0.031513374862586985
block_pre_normal,solar12_template_a0.5,True,2729.0,2729.0,0.0
block_pre_normal,solar12_template_a1.0,True,2991.0,2729.0,-0.0960058629534628
block_pre_normal,clock_folded12_template_a0.1,True,2729.0,2729.0,0.0
block_pre_normal,clock_folded12_template_a0.25,True,2729.0,2729.0,0.0
block_pre_normal,clock_folded12_template_a0.5,True,2807.0,2729.0,-0.028581898131183614
block_pre_normal,clock_folded12_template_a1.0,True,2849.0,2729.0,-0.04397215097105156
block_pre_normal,exact_step11_baseline,True,2729.0,2729.0,0.0
block_target_like,M2_template_a0.1,True,3399.0,3399.0,0.0
block_target_like,M2_template_a0.25,True,3421.0,3399.0,-0.006472491909385036
block_target_like,M2_template_a0.5,True,3461.0,3399.0,-0.018240659017358052
block_target_like,M2_template_a1.0,True,3725.0,3399.0,-0.09591056192997938
block_target_like,solar12_template_a0.1,True,3399.0,3399.0,0.0
block_target_like,solar12_template_a0.25,True,3433.0,3399.0,-0.010002942041777096
block_target_like,solar12_template_a0.5,True,3399.0,3399.0,0.0
block_target_like,solar12_template_a1.0,True,3675.0,3399.0,-0.08120035304501316
block_target_like,clock_folded12_template_a0.1,True,3399.0,3399.0,0.0
block_target_like,clock_folded12_template_a0.25,True,3399.0,3399.0,0.0
block_target_like,clock_folded12_template_a0.5,True,3441.0,3399.0,-0.012356575463371655
block_target_like,clock_folded12_template_a1.0,True,3465.0,3399.0,-0.01941747572815533
block_target_like,exact_step11_baseline,True,3399.0,3399.0,0.0
block_post_outage_stress,M2_template_a0.1,True,3872.0,3872.0,0.0
block_post_outage_stress,M2_template_a0.25,True,3874.0,3872.0,-0.0005165289256199301
block_post_outage_stress,M2_template_a0.5,True,3934.0,3872.0,-0.016012396694214948
block_post_outage_stress,M2_template_a1.0,True,4378.0,3872.0,-0.13068181818181812
block_post_outage_stress,solar12_template_a0.1,True,3872.0,3872.0,0.0
block_post_outage_stress,solar12_template_a0.25,True,3898.0,3872.0,-0.0067148760330577595
block_post_outage_stress,solar12_template_a0.5,True,3984.0,3872.0,-0.02892561983471076
block_post_outage_stress,solar12_template_a1.0,True,4354.0,3872.0,-0.12448347107438007
block_post_outage_stress,clock_folded12_template_a0.1,True,3872.0,3872.0,0.0
block_post_outage_stress,clock_folded12_template_a0.25,True,3886.0,3872.0,-0.003615702479338845
block_post_outage_stress,clock_folded12_template_a0.5,True,3974.0,3872.0,-0.026342975206611552
block_post_outage_stress,clock_folded12_template_a1.0,True,3982.0,3872.0,-0.02840909090909083
block_post_outage_stress,exact_step11_baseline,True,3872.0,3872.0,0.0
