direction,rank,y_true,pred,squared_error,error_type
core->near,1,6,1,25.0,magnitude
core->near,2,7,2,25.0,magnitude
core->near,3,6,1,25.0,magnitude
core->near,4,6,1,25.0,magnitude
core->near,5,6,1,25.0,magnitude
core->near,6,6,1,25.0,magnitude
core->near,7,6,1,25.0,magnitude
core->near,8,6,1,25.0,magnitude
core->near,9,6,1,25.0,magnitude
core->near,10,6,1,25.0,magnitude
core->near,11,7,2,25.0,magnitude
core->near,12,6,1,25.0,magnitude
core->near,13,6,1,25.0,magnitude
core->near,14,6,1,25.0,magnitude
core->near,15,6,1,25.0,magnitude
core->near,16,5,1,16.0,magnitude
core->near,17,5,1,16.0,magnitude
core->near,18,5,1,16.0,magnitude
core->near,19,6,2,16.0,magnitude
core->near,20,6,2,16.0,magnitude
near->core,1,9,1,64.0,magnitude
near->core,2,9,2,49.0,magnitude
near->core,3,6,1,25.0,magnitude
near->core,4,6,1,25.0,magnitude
near->core,5,6,1,25.0,magnitude
near->core,6,6,1,25.0,magnitude
near->core,7,6,1,25.0,magnitude
near->core,8,6,1,25.0,magnitude
near->core,9,6,1,25.0,magnitude
near->core,10,5,1,16.0,magnitude
near->core,11,5,1,16.0,magnitude
near->core,12,5,1,16.0,magnitude
near->core,13,5,1,16.0,magnitude
near->core,14,6,2,16.0,magnitude
near->core,15,5,1,16.0,magnitude
near->core,16,5,1,16.0,magnitude
near->core,17,5,1,16.0,magnitude
near->core,18,5,1,16.0,magnitude
near->core,19,5,1,16.0,magnitude
near->core,20,4,1,9.0,magnitude
near->outer,1,6,0,36.0,FN
near->outer,2,6,0,36.0,FN
near->outer,3,6,0,36.0,FN
near->outer,4,4,0,16.0,FN
near->outer,5,4,0,16.0,FN
near->outer,6,4,0,16.0,FN
near->outer,7,4,0,16.0,FN
near->outer,8,3,0,9.0,FN
near->outer,9,3,0,9.0,FN
near->outer,10,3,0,9.0,FN
near->outer,11,4,1,9.0,magnitude
near->outer,12,4,1,9.0,magnitude
near->outer,13,4,1,9.0,magnitude
near->outer,14,3,0,9.0,FN
near->outer,15,3,0,9.0,FN
near->outer,16,3,0,9.0,FN
near->outer,17,3,0,9.0,FN
near->outer,18,4,1,9.0,magnitude
near->outer,19,4,1,9.0,magnitude
near->outer,20,3,0,9.0,FN
outer->near,1,4,0,16.0,FN
outer->near,2,4,0,16.0,FN
outer->near,3,4,0,16.0,FN
outer->near,4,4,0,16.0,FN
outer->near,5,4,0,16.0,FN
outer->near,6,4,0,16.0,FN
outer->near,7,4,1,9.0,magnitude
outer->near,8,3,0,9.0,FN
outer->near,9,4,1,9.0,magnitude
outer->near,10,4,1,9.0,magnitude
outer->near,11,4,1,9.0,magnitude
outer->near,12,3,0,9.0,FN
outer->near,13,3,0,9.0,FN
outer->near,14,3,0,9.0,FN
outer->near,15,4,1,9.0,magnitude
outer->near,16,4,1,9.0,magnitude
outer->near,17,3,0,9.0,FN
outer->near,18,3,0,9.0,FN
outer->near,19,3,0,9.0,FN
outer->near,20,3,0,9.0,FN
core->outer,1,3,0,9.0,FN
core->outer,2,3,0,9.0,FN
core->outer,3,3,0,9.0,FN
core->outer,4,3,0,9.0,FN
core->outer,5,3,0,9.0,FN
core->outer,6,3,0,9.0,FN
core->outer,7,3,0,9.0,FN
core->outer,8,3,0,9.0,FN
core->outer,9,3,0,9.0,FN
core->outer,10,3,0,9.0,FN
core->outer,11,3,0,9.0,FN
core->outer,12,2,0,4.0,FN
core->outer,13,2,0,4.0,FN
core->outer,14,3,1,4.0,magnitude
core->outer,15,3,1,4.0,magnitude
core->outer,16,2,0,4.0,FN
core->outer,17,3,1,4.0,magnitude
core->outer,18,3,1,4.0,magnitude
core->outer,19,3,1,4.0,magnitude
core->outer,20,2,0,4.0,FN
outer->core,1,2,0,4.0,FN
outer->core,2,2,0,4.0,FN
outer->core,3,2,0,4.0,FN
outer->core,4,2,0,4.0,FN
outer->core,5,2,0,4.0,FN
outer->core,6,2,0,4.0,FN
outer->core,7,2,0,4.0,FN
outer->core,8,2,0,4.0,FN
outer->core,9,2,0,4.0,FN
outer->core,10,2,0,4.0,FN
outer->core,11,2,0,4.0,FN
outer->core,12,2,0,4.0,FN
outer->core,13,2,0,4.0,FN
outer->core,14,2,0,4.0,FN
outer->core,15,2,0,4.0,FN
outer->core,16,2,0,4.0,FN
outer->core,17,2,0,4.0,FN
outer->core,18,2,0,4.0,FN
outer->core,19,2,0,4.0,FN
outer->core,20,2,0,4.0,FN
