component,index,candidate10_value,candidate11_value,difference,reason
A,9,9,8,-1,sparse_-1_correction
A,18,8,7,-1,sparse_-1_correction
A,22,6,5,-1,sparse_-1_correction
A,81,9,8,-1,sparse_-1_correction
A,90,8,7,-1,sparse_-1_correction
A,94,6,5,-1,sparse_-1_correction
A,153,10,9,-1,sparse_-1_correction
A,162,8,7,-1,sparse_-1_correction
A,166,5,4,-1,sparse_-1_correction
A,225,10,9,-1,sparse_-1_correction
A,234,8,7,-1,sparse_-1_correction
A,238,5,4,-1,sparse_-1_correction
A,297,9,8,-1,sparse_-1_correction
A,306,8,7,-1,sparse_-1_correction
A,310,6,5,-1,sparse_-1_correction
A,369,9,8,-1,sparse_-1_correction
A,378,8,7,-1,sparse_-1_correction
A,382,6,5,-1,sparse_-1_correction
A,441,9,8,-1,sparse_-1_correction
A,450,8,7,-1,sparse_-1_correction
A,454,6,5,-1,sparse_-1_correction
