component,time_window,zone,candidate10,candidate12,delta,reason
A,1/25/2018 3:00,核心区,9,10,1,A_+1_correction
A,1/25/2018 6:00,核心区,8,9,1,A_+1_correction
A,1/25/2018 7:00,近港区,6,7,1,A_+1_correction
A,1/26/2018 3:00,核心区,9,10,1,A_+1_correction
A,1/26/2018 6:00,核心区,8,9,1,A_+1_correction
A,1/26/2018 7:00,近港区,6,7,1,A_+1_correction
A,1/27/2018 3:00,核心区,10,11,1,A_+1_correction
A,1/27/2018 6:00,核心区,8,9,1,A_+1_correction
A,1/27/2018 7:00,近港区,5,6,1,A_+1_correction
A,1/28/2018 3:00,核心区,10,11,1,A_+1_correction
A,1/28/2018 6:00,核心区,8,9,1,A_+1_correction
A,1/28/2018 7:00,近港区,5,6,1,A_+1_correction
A,1/29/2018 3:00,核心区,9,10,1,A_+1_correction
A,1/29/2018 6:00,核心区,8,9,1,A_+1_correction
A,1/29/2018 7:00,近港区,6,7,1,A_+1_correction
A,1/30/2018 3:00,核心区,9,10,1,A_+1_correction
A,1/30/2018 6:00,核心区,8,9,1,A_+1_correction
A,1/30/2018 7:00,近港区,6,7,1,A_+1_correction
A,1/31/2018 3:00,核心区,9,10,1,A_+1_correction
A,1/31/2018 6:00,核心区,8,9,1,A_+1_correction
A,1/31/2018 7:00,近港区,6,7,1,A_+1_correction
B,1/25/2018 10:00,outer→core,0,1,1,B_outer_to_core_+1
B,1/26/2018 10:00,outer→core,0,1,1,B_outer_to_core_+1
B,1/27/2018 10:00,outer→core,0,1,1,B_outer_to_core_+1
B,1/28/2018 10:00,outer→core,0,1,1,B_outer_to_core_+1
B,1/29/2018 10:00,outer→core,0,1,1,B_outer_to_core_+1
B,1/30/2018 10:00,outer→core,0,1,1,B_outer_to_core_+1
B,1/31/2018 10:00,outer→core,0,1,1,B_outer_to_core_+1
