hour,sse_0,sse_1,gain,pre_gain,post_gain,n
0,5.0,57.0,-52.0,-1.0,-27.0,62
1,16.0,46.0,-30.0,-1.0,-9.0,62
2,37.0,53.0,-16.0,-1.0,-17.0,62
3,0.0,62.0,-62.0,-1.0,-27.0,62
4,0.0,62.0,-62.0,-1.0,-27.0,62
5,33.0,57.0,-24.0,-1.0,-17.0,62
6,19.0,59.0,-40.0,-1.0,-5.0,62
7,0.0,62.0,-62.0,-1.0,-27.0,62
8,10.0,52.0,-42.0,-1.0,-23.0,62
9,72.0,54.0,18.0,-1.0,-11.0,62
10,59.0,55.0,4.0,-1.0,7.0,62
11,25.0,53.0,-28.0,-1.0,-9.0,62
12,6.0,56.0,-50.0,-1.0,-27.0,62
13,4.0,62.0,-58.0,3.0,-27.0,62
14,8.0,54.0,-46.0,-1.0,-17.0,62
15,13.0,49.0,-36.0,-1.0,-27.0,62
16,49.0,57.0,-8.0,-1.0,-1.0,62
17,3.0,59.0,-56.0,-1.0,-21.0,62
18,30.0,60.0,-30.0,3.0,1.0,62
19,14.0,48.0,-34.0,1.0,-1.0,62
20,0.0,62.0,-62.0,-1.0,-27.0,62
21,2.0,60.0,-58.0,-1.0,-27.0,62
22,22.0,40.0,-18.0,1.0,-9.0,62
23,3.0,57.0,-54.0,-1.0,-19.0,60
