component,time_window,zone,candidate_A0,candidate17,delta,reason,candidate_B0
A,1/25/2018 6:00,核心区,13.0,13,5,proven,
A,1/25/2018 7:00,近港区,10.0,10,4,proven,
A,1/25/2018 10:00,近港区,8.0,8,2,proven,
A,1/25/2018 12:00,近港区,5.0,6,1,probe,
A,1/25/2018 14:00,外围区,2.0,258,256,probe,
A,1/26/2018 6:00,核心区,13.0,13,5,proven,
A,1/26/2018 7:00,近港区,10.0,10,4,proven,
A,1/26/2018 10:00,近港区,8.0,8,2,proven,
A,1/26/2018 12:00,近港区,5.0,6,1,probe,
A,1/26/2018 14:00,外围区,2.0,258,256,probe,
A,1/27/2018 6:00,核心区,13.0,13,5,proven,
A,1/27/2018 7:00,近港区,9.0,9,4,proven,
A,1/27/2018 10:00,近港区,8.0,8,2,proven,
A,1/27/2018 12:00,近港区,5.0,6,1,probe,
A,1/27/2018 14:00,外围区,3.0,259,256,probe,
A,1/28/2018 6:00,核心区,13.0,13,5,proven,
A,1/28/2018 7:00,近港区,9.0,9,4,proven,
A,1/28/2018 10:00,近港区,8.0,8,2,proven,
A,1/28/2018 12:00,近港区,5.0,6,1,probe,
A,1/28/2018 14:00,外围区,3.0,259,256,probe,
A,1/29/2018 6:00,核心区,13.0,13,5,proven,
A,1/29/2018 7:00,近港区,10.0,10,4,proven,
A,1/29/2018 10:00,近港区,8.0,8,2,proven,
A,1/29/2018 12:00,近港区,5.0,6,1,probe,
A,1/29/2018 14:00,外围区,2.0,258,256,probe,
A,1/30/2018 6:00,核心区,13.0,13,5,proven,
A,1/30/2018 7:00,近港区,10.0,10,4,proven,
A,1/30/2018 10:00,近港区,8.0,8,2,proven,
A,1/30/2018 12:00,近港区,5.0,6,1,probe,
A,1/30/2018 14:00,外围区,2.0,258,256,probe,
A,1/31/2018 6:00,核心区,13.0,13,5,proven,
A,1/31/2018 7:00,近港区,10.0,10,4,proven,
A,1/31/2018 10:00,近港区,8.0,8,2,proven,
A,1/31/2018 12:00,近港区,5.0,6,1,probe,
A,1/31/2018 14:00,外围区,2.0,258,256,probe,
B,1/25/2018 17:00,外围区->近港区,,2,1,confirmed_01-29,1.0
B,1/26/2018 19:00,近港区->外围区,,17,16,probe,1.0
B,1/27/2018 11:00,近港区->外围区,,257,256,probe,1.0
B,1/28/2018 7:00,外围区->近港区,,4097,4096,probe,1.0
B,1/29/2018 10:00,外围区->核心区,,1,1,confirmed_01-29,0.0
